NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;1:23.350;0;;33.045;0;24.090;0;26.215;0;101.7;1:23.350;19:06:14.173;0:33.045;0:24.090;0:26.215;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;2;1:11.849;0;;24.536;0;22.796;0;24.517;0;118.0;2:35.199;19:07:26.022;0:24.536;0:22.796;0:24.517;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;3;1:11.303;0;;24.043;0;22.535;0;24.725;0;118.9;3:46.502;19:08:37.325;0:24.043;0:22.535;0:24.725;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;1:10.937;0;;23.918;0;22.420;0;24.599;0;119.5;4:57.439;19:09:48.262;0:23.918;0:22.420;0:24.599;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;1:10.963;0;;23.925;0;22.399;0;24.639;0;119.5;6:08.402;19:10:59.225;0:23.925;0:22.399;0:24.639;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;1:11.587;0;;23.819;0;23.366;0;24.402;0;118.4;7:19.989;19:12:10.812;0:23.819;0:23.366;0:24.402;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;1:10.577;0;;23.887;0;22.358;0;24.332;0;120.1;8:30.566;19:13:21.389;0:23.887;0:22.358;0:24.332;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;8;1:10.764;0;;23.842;0;22.420;0;24.502;0;119.8;9:41.330;19:14:32.153;0:23.842;0:22.420;0:24.502;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;1:11.027;0;;24.065;0;22.308;0;24.654;0;119.4;10:52.357;19:15:43.180;0:24.065;0:22.308;0:24.654;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;1:10.759;0;;24.012;0;22.376;0;24.371;0;119.8;12:03.116;19:16:53.939;0:24.012;0:22.376;0:24.371;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;11;1:44.928;0;;24.073;0;43.639;0;37.216;0;80.8;13:48.044;19:18:38.867;0:24.073;0:43.639;0:37.216;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;12;2:36.444;0;;41.378;0;59.200;0;55.866;0;54.2;16:24.488;19:21:15.311;0:41.378;0:59.200;0:55.866;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
