NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;1:32.559;0;;35.243;0;32.888;0;24.428;0;96.7;1:32.559;19:05:28.559;0:35.243;0:32.888;0:24.428;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;2;1:21.133;0;;25.264;0;32.198;0;23.671;0;110.4;2:53.692;19:06:49.692;0:25.264;0:32.198;0:23.671;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;3;1:19.207;0;;24.762;0;30.756;0;23.689;0;113.0;4:12.899;19:08:08.899;0:24.762;0:30.756;0:23.689;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;1:19.149;0;;24.634;0;30.868;0;23.647;0;113.1;5:32.048;19:09:28.048;0:24.634;0:30.868;0:23.647;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;1:19.293;0;;24.773;0;30.982;0;23.538;0;112.9;6:51.341;19:10:47.341;0:24.773;0:30.982;0:23.538;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;1:20.261;0;;24.921;0;31.443;0;23.897;0;111.6;8:11.602;19:12:07.602;0:24.921;0:31.443;0:23.897;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;1:18.807;0;;24.795;0;30.457;0;23.555;0;113.6;9:30.409;19:13:26.409;0:24.795;0:30.457;0:23.555;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;8;1:18.662;0;;24.465;0;30.585;0;23.612;0;113.8;10:49.071;19:14:45.071;0:24.465;0:30.585;0:23.612;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;1:18.411;0;;24.256;0;30.413;0;23.742;0;114.2;12:07.482;19:16:03.482;0:24.256;0:30.413;0:23.742;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;1:20.254;0;;24.448;0;32.268;0;23.538;0;111.6;13:27.736;19:17:23.736;0:24.448;0:32.268;0:23.538;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235;
11;1;11;1:17.929;0;;24.238;0;30.345;0;23.346;0;114.9;14:45.665;19:18:41.665;0:24.238;0:30.345;0:23.346;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235;
11;1;12;1:19.080;0;;24.629;0;30.825;0;23.626;0;113.2;16:04.745;19:20:00.745;0:24.629;0:30.825;0:23.626;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235;
11;1;13;2:12.571;0;B;30.790;0;41.512;0;1:00.269;0;67.5;18:17.316;19:22:13.316;0:30.790;0:41.512;1:00.269;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;235;
11;1;14;1:23.165;0;;28.578;0;30.997;0;23.590;0;107.7;19:40.481;19:23:36.481;0:28.578;0:30.997;0:23.590;;Lucas DI GRASSI;0:00:39.692;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;15;1:19.023;0;;24.557;0;30.779;0;23.687;0;113.3;20:59.504;19:24:55.504;0:24.557;0:30.779;0:23.687;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;16;1:19.045;0;;24.508;0;30.803;0;23.734;0;113.3;22:18.549;19:26:14.549;0:24.508;0:30.803;0:23.734;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;17;1:19.124;0;;24.450;0;30.822;0;23.852;0;113.2;23:37.673;19:27:33.673;0:24.450;0:30.822;0:23.852;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;18;1:18.843;0;;24.416;0;30.687;0;23.740;0;113.6;24:56.516;19:28:52.516;0:24.416;0:30.687;0:23.740;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;19;1:18.847;0;;24.450;0;30.674;0;23.723;0;113.6;26:15.363;19:30:11.363;0:24.450;0:30.674;0:23.723;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;20;1:19.304;0;;24.636;0;30.810;0;23.858;0;112.9;27:34.667;19:31:30.667;0:24.636;0:30.810;0:23.858;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;21;1:19.155;0;;24.573;0;30.778;0;23.804;0;113.1;28:53.822;19:32:49.822;0:24.573;0:30.778;0:23.804;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;22;1:19.165;0;;24.542;0;30.854;0;23.769;0;113.1;30:12.987;19:34:08.987;0:24.542;0:30.854;0:23.769;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;23;1:19.546;0;;24.625;0;31.004;0;23.917;0;112.6;31:32.533;19:35:28.533;0:24.625;0:31.004;0:23.917;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;24;1:19.276;0;;24.517;0;30.982;0;23.777;0;112.9;32:51.809;19:36:47.809;0:24.517;0:30.982;0:23.777;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;25;1:19.175;0;;24.513;0;30.760;0;23.902;0;113.1;34:10.984;19:38:06.984;0:24.513;0:30.760;0:23.902;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
