NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;1;1:40.854;0;;39.132;0;32.335;0;29.387;0;106.4;1:40.854;16:05:24.228;0:39.132;0:32.335;0:29.387;;Sam BIRD;;;;Jaguar Racing;;;
10;1;2;1:30.586;0;;29.259;0;31.560;0;29.767;0;118.5;3:11.440;16:06:54.814;0:29.259;0:31.560;0:29.767;;Sam BIRD;;;;Jaguar Racing;;;
10;1;3;1:27.617;0;;28.067;0;30.427;0;29.123;0;122.5;4:39.057;16:08:22.431;0:28.067;0:30.427;0:29.123;;Sam BIRD;;;;Jaguar Racing;;;
10;1;4;1:28.158;0;;28.337;0;30.575;0;29.246;0;121.8;6:07.215;16:09:50.589;0:28.337;0:30.575;0:29.246;;Sam BIRD;;;;Jaguar Racing;;;
10;1;5;1:28.278;0;;28.159;0;30.496;0;29.623;0;121.6;7:35.493;16:11:18.867;0:28.159;0:30.496;0:29.623;;Sam BIRD;;;;Jaguar Racing;;;
10;1;6;1:28.110;0;;28.216;0;30.744;0;29.150;0;121.8;9:03.603;16:12:46.977;0:28.216;0:30.744;0:29.150;;Sam BIRD;;;;Jaguar Racing;;;
10;1;7;1:28.716;0;;28.121;0;31.010;0;29.585;0;121.0;10:32.319;16:14:15.693;0:28.121;0:31.010;0:29.585;;Sam BIRD;;;;Jaguar Racing;;;
10;1;8;1:32.051;0;;28.393;0;34.666;0;28.992;0;116.6;12:04.370;16:15:47.744;0:28.393;0:34.666;0:28.992;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;9;1:26.802;0;;27.843;0;30.092;0;28.867;0;123.7;13:31.172;16:17:14.546;0:27.843;0:30.092;0:28.867;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;10;1:29.648;0;;29.346;0;30.800;0;29.502;0;119.7;15:00.820;16:18:44.194;0:29.346;0:30.800;0:29.502;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;11;1:28.038;0;;27.760;0;30.960;0;29.318;0;121.9;16:28.858;16:20:12.232;0:27.760;0:30.960;0:29.318;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;12;1:30.633;0;;28.530;0;30.899;0;31.204;0;118.4;17:59.491;16:21:42.865;0:28.530;0:30.899;0:31.204;;Sam BIRD;;;;Jaguar Racing;;;
10;1;13;1:28.801;0;;28.112;0;30.898;0;29.791;0;120.9;19:28.292;16:23:11.666;0:28.112;0:30.898;0:29.791;;Sam BIRD;;;;Jaguar Racing;;;
10;1;14;1:30.415;0;;29.172;0;31.853;0;29.390;0;118.7;20:58.707;16:24:42.081;0:29.172;0:31.853;0:29.390;;Sam BIRD;;;;Jaguar Racing;;;
10;1;15;1:27.173;0;;28.085;0;30.423;0;28.665;0;123.1;22:25.880;16:26:09.254;0:28.085;0:30.423;0:28.665;;Sam BIRD;;;;Jaguar Racing;;;
10;1;16;1:27.337;0;;28.183;0;30.319;0;28.835;0;122.9;23:53.217;16:27:36.591;0:28.183;0:30.319;0:28.835;;Sam BIRD;;;;Jaguar Racing;;;
10;1;17;1:26.436;0;;27.618;0;30.194;0;28.624;0;124.2;25:19.653;16:29:03.027;0:27.618;0:30.194;0:28.624;;Sam BIRD;;;;Jaguar Racing;;;
10;1;18;1:26.489;0;;27.603;0;30.393;0;28.493;0;124.1;26:46.142;16:30:29.516;0:27.603;0:30.393;0:28.493;;Sam BIRD;;;;Jaguar Racing;;;
10;1;19;1:29.547;0;;27.659;0;33.466;0;28.422;0;119.9;28:15.689;16:31:59.063;0:27.659;0:33.466;0:28.422;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;20;1:25.722;2;;27.530;0;29.826;2;28.366;2;125.2;29:41.411;16:33:24.785;0:27.530;0:29.826;0:28.366;;Sam BIRD;;;;Jaguar Racing;;235;
