NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;1;2:58.850;0;;;0;;0;54.359;0;68.0;2:58.850;16:06:58.850;;;0:54.359;;Sam BIRD;;;;Jaguar Racing;;;
10;1;2;2:25.379;0;;37.688;0;48.791;0;58.900;0;83.7;5:24.229;16:09:24.229;0:37.688;0:48.791;0:58.900;;Sam BIRD;;;;Jaguar Racing;;;
10;1;3;1:56.947;0;;28.923;0;41.905;0;46.119;0;104.0;7:21.176;16:11:21.176;0:28.923;0:41.905;0:46.119;;Sam BIRD;;;;Jaguar Racing;;;
10;1;4;1:52.267;0;;27.868;0;38.874;0;45.525;0;108.4;9:13.443;16:13:13.443;0:27.868;0:38.874;0:45.525;;Sam BIRD;;;;Jaguar Racing;;;
10;1;5;1:49.836;0;;27.235;0;37.625;0;44.976;0;110.8;11:03.279;16:15:03.279;0:27.235;0:37.625;0:44.976;;Sam BIRD;;;;Jaguar Racing;;;
10;1;6;1:47.677;0;;26.702;0;36.612;0;44.363;0;113.0;12:50.956;16:16:50.956;0:26.702;0:36.612;0:44.363;;Sam BIRD;;;;Jaguar Racing;;;
10;1;7;1:51.472;0;;26.647;0;37.810;0;47.015;0;109.2;14:42.428;16:18:42.428;0:26.647;0:37.810;0:47.015;;Sam BIRD;;;;Jaguar Racing;;;
10;1;8;1:50.406;0;;27.639;0;37.838;0;44.929;0;110.2;16:32.834;16:20:32.834;0:27.639;0:37.838;0:44.929;;Sam BIRD;;;;Jaguar Racing;;;
10;1;9;1:50.101;0;;28.250;0;37.425;0;44.426;0;110.5;18:22.935;16:22:22.935;0:28.250;0:37.425;0:44.426;;Sam BIRD;;;;Jaguar Racing;;;
10;1;10;1:48.525;0;;27.263;0;37.104;0;44.158;0;112.1;20:11.460;16:24:11.460;0:27.263;0:37.104;0:44.158;;Sam BIRD;;;;Jaguar Racing;;;
10;1;11;1:48.170;0;;27.010;0;36.208;0;44.952;0;112.5;21:59.630;16:25:59.630;0:27.010;0:36.208;0:44.952;;Sam BIRD;;;;Jaguar Racing;;;
10;1;12;1:46.783;0;;26.701;0;35.959;0;44.123;0;114.0;23:46.413;16:27:46.413;0:26.701;0:35.959;0:44.123;;Sam BIRD;;;;Jaguar Racing;;;
10;1;13;1:45.924;0;;26.390;0;35.350;0;44.184;0;114.9;25:32.337;16:29:32.337;0:26.390;0:35.350;0:44.184;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;14;1:43.532;2;;26.184;0;34.879;0;42.469;0;117.5;27:15.869;16:31:15.869;0:26.184;0:34.879;0:42.469;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;15;1:46.981;0;;26.825;0;36.120;0;44.036;0;113.7;29:02.850;16:33:02.850;0:26.825;0:36.120;0:44.036;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;16;1:46.341;0;;26.389;0;35.820;0;44.132;0;114.4;30:49.191;16:34:49.191;0:26.389;0:35.820;0:44.132;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;17;1:46.215;0;;26.241;0;35.376;0;44.598;0;114.6;32:35.406;16:36:35.406;0:26.241;0:35.376;0:44.598;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;18;1:43.578;0;;26.531;0;34.760;0;42.287;3;117.5;34:18.984;16:38:18.984;0:26.531;0:34.760;0:42.287;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;19;1:44.310;0;;25.692;2;34.553;0;44.065;0;116.7;36:03.294;16:40:03.294;0:25.692;0:34.553;0:44.065;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;20;1:44.005;0;;26.160;0;34.371;2;43.474;0;117.0;37:47.299;16:41:47.299;0:26.160;0:34.371;0:43.474;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;21;1:44.852;0;;26.690;0;34.702;0;43.460;0;116.0;39:32.151;16:43:32.151;0:26.690;0:34.702;0:43.460;;Sam BIRD;;;;Jaguar Racing;;;
10;1;22;2:22.149;0;;26.668;0;35.636;0;1:19.845;0;85.6;41:54.300;16:45:54.300;0:26.668;0:35.636;1:19.845;;Sam BIRD;;;;Jaguar Racing;;;
10;1;23;3:58.202;0;;1:18.416;0;1:25.136;0;1:14.650;0;51.1;45:52.502;16:49:52.502;1:18.416;1:25.136;1:14.650;;Sam BIRD;;;;Jaguar Racing;;;
10;1;24;2:55.136;0;;42.767;0;1:15.553;0;56.816;0;69.5;48:47.638;16:52:47.638;0:42.767;1:15.553;0:56.816;;Sam BIRD;;;;Jaguar Racing;;;
