NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;0;26.903;0;;;0;;0;;0;333.9;26.903;20:07:22.679;;;;;Sam BIRD;;;;Jaguar Racing;;;
10;1;1;1:15.849;0;;24.917;0;19.801;0;31.131;0;118.4;1:42.752;20:08:38.528;0:24.917;0:19.801;0:31.131;;Sam BIRD;;;;Jaguar Racing;;;
10;1;2;1:13.334;0;;23.539;0;19.358;0;30.437;0;122.5;2:56.086;20:09:51.862;0:23.539;0:19.358;0:30.437;;Sam BIRD;;;;Jaguar Racing;;;
10;1;3;1:12.134;0;;23.165;0;18.951;0;30.018;0;124.5;4:08.220;20:11:03.996;0:23.165;0:18.951;0:30.018;;Sam BIRD;;;;Jaguar Racing;;;
10;1;4;1:11.623;0;;22.793;0;18.726;0;30.104;0;125.4;5:19.843;20:12:15.619;0:22.793;0:18.726;0:30.104;;Sam BIRD;;;;Jaguar Racing;;;
10;1;5;1:12.089;0;;22.875;0;18.782;0;30.432;0;124.6;6:31.932;20:13:27.708;0:22.875;0:18.782;0:30.432;;Sam BIRD;;;;Jaguar Racing;;;
10;1;6;1:12.134;0;;22.902;0;18.960;0;30.272;0;124.5;7:44.066;20:14:39.842;0:22.902;0:18.960;0:30.272;;Sam BIRD;;;;Jaguar Racing;;;
10;1;7;1:11.705;0;;22.868;0;18.758;0;30.079;0;125.3;8:55.771;20:15:51.547;0:22.868;0:18.758;0:30.079;;Sam BIRD;;;;Jaguar Racing;;;
10;1;8;1:11.687;0;;22.925;0;18.575;0;30.187;0;125.3;10:07.458;20:17:03.234;0:22.925;0:18.575;0:30.187;;Sam BIRD;;;;Jaguar Racing;;;
10;1;9;1:11.597;0;;22.803;0;18.767;0;30.027;0;125.5;11:19.055;20:18:14.831;0:22.803;0:18.767;0:30.027;;Sam BIRD;;;;Jaguar Racing;;;
