NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;1;2:04.864;0;B;38.998;0;44.261;2;41.605;0;64.9;2:04.864;15:05:56.804;0:38.998;0:44.261;0:41.605;;Sam BIRD;;;;Jaguar Racing;;;
11;1;1;1:32.872;0;;31.082;0;32.937;0;28.853;0;87.3;1:32.872;15:05:24.812;0:31.082;0:32.937;0:28.853;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;2;2:09.980;0;;36.604;0;1:03.925;0;29.451;0;62.4;3:42.852;15:07:34.792;0:36.604;1:03.925;0:29.451;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;3;1:24.542;0;;25.696;0;31.114;0;27.732;0;95.9;5:07.394;15:08:59.334;0:25.696;0:31.114;0:27.732;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;4;1:26.006;0;;25.651;0;31.443;0;28.912;0;94.3;6:33.400;15:10:25.340;0:25.651;0:31.443;0:28.912;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;5;1:24.320;0;;25.368;0;31.108;0;27.844;0;96.1;7:57.720;15:11:49.660;0:25.368;0:31.108;0:27.844;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;6;1:24.038;0;;25.486;0;30.815;0;27.737;0;96.5;9:21.758;15:13:13.698;0:25.486;0:30.815;0:27.737;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;7;1:27.254;0;;25.620;0;31.723;0;29.911;0;92.9;10:49.012;15:14:40.952;0:25.620;0:31.723;0:29.911;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;8;1:24.190;0;;25.938;0;30.648;0;27.604;0;96.3;12:13.202;15:16:05.142;0:25.938;0:30.648;0:27.604;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;9;1:23.492;0;;25.572;0;30.444;0;27.476;0;97.1;13:36.694;15:17:28.634;0:25.572;0:30.444;0:27.476;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;10;1:23.607;0;;25.399;0;30.683;0;27.525;0;97.0;15:00.301;15:18:52.241;0:25.399;0:30.683;0:27.525;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;11;1:23.708;0;;25.374;0;30.837;0;27.497;0;96.9;16:24.009;15:20:15.949;0:25.374;0:30.837;0:27.497;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;12;1:23.667;0;;25.493;0;30.737;0;27.437;0;96.9;17:47.676;15:21:39.616;0:25.493;0:30.737;0:27.437;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;13;1:23.627;0;;25.433;0;30.758;0;27.436;0;96.9;19:11.303;15:23:03.243;0:25.433;0:30.758;0:27.436;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;14;1:24.588;0;;25.496;0;30.664;0;28.428;0;95.8;20:35.891;15:24:27.831;0:25.496;0:30.664;0:28.428;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;15;1:22.769;2;;25.145;0;30.190;2;27.434;0;97.9;21:58.660;15:25:50.600;0:25.145;0:30.190;0:27.434;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;16;1:24.037;0;;25.425;0;30.910;0;27.702;0;96.5;23:22.697;15:27:14.637;0:25.425;0:30.910;0:27.702;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;17;1:25.051;0;;25.913;0;31.311;0;27.827;0;95.3;24:47.748;15:28:39.688;0:25.913;0:31.311;0:27.827;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;18;1:24.107;0;;25.351;0;31.502;0;27.254;0;96.4;26:11.855;15:30:03.795;0:25.351;0:31.502;0:27.254;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;19;1:23.117;0;;25.317;0;30.467;0;27.333;0;97.5;27:34.972;15:31:26.912;0:25.317;0:30.467;0:27.333;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;20;1:23.453;0;;25.332;0;30.762;0;27.359;0;97.1;28:58.425;15:32:50.365;0:25.332;0:30.762;0:27.359;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;21;1:23.510;0;;25.256;0;30.774;0;27.480;0;97.1;30:21.935;15:34:13.875;0:25.256;0:30.774;0:27.480;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;22;1:23.170;0;;25.259;0;30.577;0;27.334;0;97.5;31:45.105;15:35:37.045;0:25.259;0:30.577;0:27.334;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;23;1:23.397;0;;25.349;0;30.664;0;27.384;0;97.2;33:08.502;15:37:00.442;0:25.349;0:30.664;0:27.384;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;24;1:23.365;0;;25.210;0;30.746;0;27.409;0;97.2;34:31.867;15:38:23.807;0:25.210;0:30.746;0:27.409;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
