NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;1;2:32.346;0;;1:16.834;0;43.300;0;32.212;0;79.8;2:32.346;15:05:32.346;1:16.834;0:43.300;0:32.212;;Sam BIRD;;;;Jaguar Racing;;;
10;1;2;1:46.001;0;;36.304;0;37.705;0;31.992;0;114.7;4:18.347;15:07:18.347;0:36.304;0:37.705;0:31.992;;Sam BIRD;;;;Jaguar Racing;;;
10;1;3;3:03.699;0;;51.345;0;1:20.681;0;51.673;0;66.2;7:22.046;15:10:22.046;0:51.345;1:20.681;0:51.673;;Sam BIRD;;;;Jaguar Racing;;;
10;1;4;2:29.266;0;;52.817;0;1:01.894;0;34.555;0;81.4;9:51.312;15:12:51.312;0:52.817;1:01.894;0:34.555;;Sam BIRD;;;;Jaguar Racing;;;
10;1;5;1:44.237;0;;35.223;0;37.444;0;31.570;0;116.6;11:35.549;15:14:35.549;0:35.223;0:37.444;0:31.570;;Sam BIRD;;;;Jaguar Racing;;;
10;1;6;1:43.842;0;;34.825;0;37.058;0;31.959;0;117.0;13:19.391;15:16:19.391;0:34.825;0:37.058;0:31.959;;Sam BIRD;;;;Jaguar Racing;;;
10;1;7;1:47.264;0;;37.657;0;39.119;0;30.488;0;113.3;15:06.655;15:18:06.655;0:37.657;0:39.119;0:30.488;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;8;1:43.836;0;;34.210;0;36.873;0;32.753;0;117.0;16:50.491;15:19:50.491;0:34.210;0:36.873;0:32.753;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;9;1:41.369;0;;34.053;0;36.588;0;30.728;0;119.9;18:31.860;15:21:31.860;0:34.053;0:36.588;0:30.728;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;10;1:42.381;0;;34.436;0;37.476;0;30.469;0;118.7;20:14.241;15:23:14.241;0:34.436;0:37.476;0:30.469;;Sam BIRD;;;;Jaguar Racing;;;
10;1;11;1:50.555;0;;34.609;0;38.870;0;37.076;0;109.9;22:04.796;15:25:04.796;0:34.609;0:38.870;0:37.076;;Sam BIRD;;;;Jaguar Racing;;;
10;1;12;2:36.869;0;;57.169;0;1:04.355;0;35.345;0;77.5;24:41.665;15:27:41.665;0:57.169;1:04.355;0:35.345;;Sam BIRD;;;;Jaguar Racing;;;
10;1;13;1:43.516;0;;34.525;0;37.196;0;31.795;0;117.4;26:25.181;15:29:25.181;0:34.525;0:37.196;0:31.795;;Sam BIRD;;;;Jaguar Racing;;;
10;1;14;1:41.106;2;;34.032;2;36.750;0;30.324;2;120.2;28:06.287;15:31:06.287;0:34.032;0:36.750;0:30.324;;Sam BIRD;;;;Jaguar Racing;;;
10;1;15;1:44.662;0;;34.439;0;37.464;0;32.759;0;116.1;29:50.949;15:32:50.949;0:34.439;0:37.464;0:32.759;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;16;2:49.108;0;;57.862;0;1:04.756;0;46.490;0;71.9;32:40.057;15:35:40.057;0:57.862;1:04.756;0:46.490;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;17;2:09.264;0;;45.385;0;47.068;0;36.811;0;94.0;34:49.321;15:37:49.321;0:45.385;0:47.068;0:36.811;;Sam BIRD;;;;Jaguar Racing;;;
10;1;18;1:43.004;0;;34.584;0;37.437;0;30.983;0;118.0;36:32.325;15:39:32.325;0:34.584;0:37.437;0:30.983;;Sam BIRD;;;;Jaguar Racing;;;
10;1;19;1:41.837;0;;34.298;0;36.979;0;30.560;0;119.3;38:14.162;15:41:14.162;0:34.298;0:36.979;0:30.560;;Sam BIRD;;;;Jaguar Racing;;;
10;1;20;1:48.638;0;;34.037;0;36.503;2;38.098;0;111.9;40:02.800;15:43:02.800;0:34.037;0:36.503;0:38.098;;Sam BIRD;;;;Jaguar Racing;;;
10;1;21;2:33.837;0;;54.425;0;58.961;0;40.451;0;79.0;42:36.637;15:45:36.637;0:54.425;0:58.961;0:40.451;;Sam BIRD;;;;Jaguar Racing;;;
10;1;22;2:13.925;0;;44.461;0;51.367;0;38.097;0;90.7;44:50.562;15:47:50.562;0:44.461;0:51.367;0:38.097;;Sam BIRD;;;;Jaguar Racing;;;
10;1;23;1:50.929;0;;35.724;0;38.957;0;36.248;0;109.6;46:41.491;15:49:41.491;0:35.724;0:38.957;0:36.248;;Sam BIRD;;;;Jaguar Racing;;;
