NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;1;1:44.682;0;;36.335;0;37.312;0;31.035;0;116.1;1:44.682;14:05:37.359;0:36.335;0:37.312;0:31.035;;Sam BIRD;;;;Jaguar Racing;;;
10;1;2;1:35.465;0;;33.024;0;33.865;0;28.576;0;127.3;3:20.147;14:07:12.824;0:33.024;0:33.865;0:28.576;;Sam BIRD;;;;Jaguar Racing;;;
10;1;3;1:34.052;0;;32.265;0;33.291;0;28.496;0;129.2;4:54.199;14:08:46.876;0:32.265;0:33.291;0:28.496;;Sam BIRD;;;;Jaguar Racing;;;
10;1;4;1:33.558;0;;32.267;0;33.146;0;28.145;0;129.9;6:27.757;14:10:20.434;0:32.267;0:33.146;0:28.145;;Sam BIRD;;;;Jaguar Racing;;;
10;1;5;1:33.548;0;;32.083;0;33.243;0;28.222;0;129.9;8:01.305;14:11:53.982;0:32.083;0:33.243;0:28.222;;Sam BIRD;;;;Jaguar Racing;;;
10;1;6;1:35.374;0;;31.787;0;33.588;0;29.999;0;127.4;9:36.679;14:13:29.356;0:31.787;0:33.588;0:29.999;;Sam BIRD;;;;Jaguar Racing;;;
10;1;7;1:34.489;0;;31.812;0;33.437;0;29.240;0;128.6;11:11.168;14:15:03.845;0:31.812;0:33.437;0:29.240;;Sam BIRD;;;;Jaguar Racing;;;
10;1;8;1:35.350;0;;31.663;0;33.345;0;30.342;0;127.5;12:46.518;14:16:39.195;0:31.663;0:33.345;0:30.342;;Sam BIRD;;;;Jaguar Racing;;;
10;1;9;1:34.458;0;;31.733;0;33.226;0;29.499;0;128.7;14:20.976;14:18:13.653;0:31.733;0:33.226;0:29.499;;Sam BIRD;;;;Jaguar Racing;;;
10;1;10;1:34.334;0;;31.713;0;34.309;0;28.312;0;128.8;15:55.310;14:19:47.987;0:31.713;0:34.309;0:28.312;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;11;1:32.718;0;;31.250;0;33.020;0;28.448;0;131.1;17:28.028;14:21:20.705;0:31.250;0:33.020;0:28.448;;Sam BIRD;;;;Jaguar Racing;;235;
10;1;12;1:34.299;0;;31.154;0;32.972;0;30.173;0;128.9;19:02.327;14:22:55.004;0:31.154;0:32.972;0:30.173;;Sam BIRD;;;;Jaguar Racing;;235;
