NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;1;2:14.766;0;;40.461;0;32.734;0;1:01.571;0;79.7;2:14.766;16:06:00.854;0:40.461;0:32.734;1:01.571;;Sam BIRD;;;;Jaguar Racing;;;
10;1;2;3:57.228;0;;1:11.709;0;1:38.403;0;1:07.116;0;45.3;6:11.994;16:09:58.082;1:11.709;1:38.403;1:07.116;;Sam BIRD;;;;Jaguar Racing;;;
10;1;3;1:57.020;0;;50.794;0;34.394;0;31.832;0;91.7;8:09.014;16:11:55.102;0:50.794;0:34.394;0:31.832;;Sam BIRD;;;;Jaguar Racing;;;
10;1;4;1:28.683;0;;28.927;0;30.543;0;29.213;0;121.1;9:37.697;16:13:23.785;0:28.927;0:30.543;0:29.213;;Sam BIRD;;;;Jaguar Racing;;;
10;1;5;1:28.276;0;;28.487;0;30.277;0;29.512;0;121.6;11:05.973;16:14:52.061;0:28.487;0:30.277;0:29.512;;Sam BIRD;;;;Jaguar Racing;;;
10;1;6;1:29.310;0;;28.830;0;30.959;0;29.521;0;120.2;12:35.283;16:16:21.371;0:28.830;0:30.959;0:29.521;;Sam BIRD;;;;Jaguar Racing;;;
10;1;7;1:28.195;0;;28.496;0;30.395;0;29.304;0;121.7;14:03.478;16:17:49.566;0:28.496;0:30.395;0:29.304;;Sam BIRD;;;;Jaguar Racing;;;
10;1;8;1:27.927;0;;28.321;0;30.341;0;29.265;0;122.1;15:31.405;16:19:17.493;0:28.321;0:30.341;0:29.265;;Sam BIRD;;;;Jaguar Racing;;;
10;1;9;1:28.145;0;;28.523;0;30.434;0;29.188;0;121.8;16:59.550;16:20:45.638;0:28.523;0:30.434;0:29.188;;Sam BIRD;;;;Jaguar Racing;;;
10;1;10;1:27.773;0;;28.232;0;30.389;0;29.152;0;122.3;18:27.323;16:22:13.411;0:28.232;0:30.389;0:29.152;;Sam BIRD;;;;Jaguar Racing;;;
10;1;11;1:27.795;0;;28.177;0;30.335;0;29.283;0;122.3;19:55.118;16:23:41.206;0:28.177;0:30.335;0:29.283;;Sam BIRD;;;;Jaguar Racing;;;
10;1;12;1:30.715;0;;28.048;2;33.595;0;29.072;0;118.3;21:25.833;16:25:11.921;0:28.048;0:33.595;0:29.072;;Sam BIRD;;;;Jaguar Racing;;;
10;1;13;1:27.372;0;;28.072;0;30.325;0;28.975;2;122.9;22:53.205;16:26:39.293;0:28.072;0:30.325;0:28.975;;Sam BIRD;;;;Jaguar Racing;;;
10;1;14;1:27.324;2;;28.214;0;30.060;2;29.050;0;122.9;24:20.529;16:28:06.617;0:28.214;0:30.060;0:29.050;;Sam BIRD;;;;Jaguar Racing;;;
10;1;15;1:27.360;0;;28.132;0;30.189;0;29.039;0;122.9;25:47.889;16:29:33.977;0:28.132;0:30.189;0:29.039;;Sam BIRD;;;;Jaguar Racing;;;
11;1;1;2:01.816;0;;36.454;0;31.788;0;53.574;0;88.1;2:01.816;16:05:47.904;0:36.454;0:31.788;0:53.574;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;2;3:59.606;0;;1:13.178;0;1:34.892;0;1:11.536;0;44.8;6:01.422;16:09:47.510;1:13.178;1:34.892;1:11.536;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;3;2:02.943;0;;46.179;0;40.254;0;36.510;0;87.3;8:04.365;16:11:50.453;0:46.179;0:40.254;0:36.510;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;4;1:28.528;0;;28.589;0;30.704;0;29.235;0;121.3;9:32.893;16:13:18.981;0:28.589;0:30.704;0:29.235;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;5;1:29.685;0;;28.479;0;31.855;0;29.351;0;119.7;11:02.578;16:14:48.666;0:28.479;0:31.855;0:29.351;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;6;1:28.503;0;;28.474;0;30.802;0;29.227;0;121.3;12:31.081;16:16:17.169;0:28.474;0:30.802;0:29.227;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;7;1:28.015;0;;28.083;0;30.582;0;29.350;0;122.0;13:59.096;16:17:45.184;0:28.083;0:30.582;0:29.350;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;8;1:28.486;0;;28.074;0;30.913;0;29.499;0;121.3;15:27.582;16:19:13.670;0:28.074;0:30.913;0:29.499;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;9;1:28.002;0;;28.064;0;30.629;0;29.309;0;122.0;16:55.584;16:20:41.672;0:28.064;0:30.629;0:29.309;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;10;1:30.257;0;;27.923;0;33.353;0;28.981;0;118.9;18:25.841;16:22:11.929;0:27.923;0:33.353;0:28.981;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;11;1:28.401;0;;28.113;0;30.797;0;29.491;0;121.4;19:54.242;16:23:40.330;0:28.113;0:30.797;0:29.491;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;12;1:27.127;0;;27.860;0;30.234;0;29.033;0;123.2;21:21.369;16:25:07.457;0:27.860;0:30.234;0:29.033;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;13;1:27.765;0;;28.306;0;30.312;0;29.147;0;122.3;22:49.134;16:26:35.222;0:28.306;0:30.312;0:29.147;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;14;1:29.305;0;;27.871;0;32.742;0;28.692;0;120.2;24:18.439;16:28:04.527;0:27.871;0:32.742;0:28.692;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;15;1:27.513;0;;28.903;0;29.718;2;28.892;0;122.7;25:45.952;16:29:32.040;0:28.903;0:29.718;0:28.892;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;16;1:56.361;0;;27.355;0;30.056;0;58.950;0;92.3;27:42.313;16:31:28.401;0:27.355;0:30.056;0:58.950;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;235;
11;1;17;3:36.432;0;;1:14.891;0;1:18.635;0;1:02.906;0;49.6;31:18.745;16:35:04.833;1:14.891;1:18.635;1:02.906;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;18;1:55.229;0;;44.500;0;35.485;0;35.244;0;93.2;33:13.974;16:37:00.062;0:44.500;0:35.485;0:35.244;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;19;1:27.910;0;;28.271;0;30.585;0;29.054;0;122.1;34:41.884;16:38:27.972;0:28.271;0:30.585;0:29.054;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;20;1:27.203;0;;28.075;0;30.297;0;28.831;0;123.1;36:09.087;16:39:55.175;0:28.075;0:30.297;0:28.831;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;21;1:27.023;0;;27.863;0;30.326;0;28.834;0;123.4;37:36.110;16:41:22.198;0:27.863;0:30.326;0:28.834;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;250;
11;1;22;1:26.974;0;;28.004;0;30.229;0;28.741;0;123.4;39:03.084;16:42:49.172;0:28.004;0:30.229;0:28.741;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;23;1:27.319;0;;27.636;0;30.430;0;29.253;0;122.9;40:30.403;16:44:16.491;0:27.636;0:30.430;0:29.253;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;24;1:26.522;0;;27.564;0;30.055;0;28.903;0;124.1;41:56.925;16:45:43.013;0:27.564;0:30.055;0:28.903;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;25;1:25.996;0;;27.407;0;29.830;0;28.759;0;124.8;43:22.921;16:47:09.009;0:27.407;0:29.830;0:28.759;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;26;1:25.549;2;;27.249;2;29.813;0;28.487;3;125.5;44:48.470;16:48:34.558;0:27.249;0:29.813;0:28.487;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;27;1:25.822;0;;27.435;0;29.873;0;28.514;0;125.1;46:14.292;16:50:00.380;0:27.435;0:29.873;0:28.514;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
11;1;28;1:26.480;0;;27.698;0;30.049;0;28.733;0;124.1;47:40.772;16:51:26.860;0:27.698;0:30.049;0:28.733;;Lucas DI GRASSI;;;;Audi Sport ABT Schaeffler Formula E Team;;;
