NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:58.578;0;;50.189;0;37.360;0;31.029;0;60.0;1:58.578;17:04:58.578;0:50.189;0:37.360;0:31.029;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:47.461;0;;37.426;0;40.182;0;29.853;0;69.9;3:46.039;17:06:46.039;0:37.426;0:40.182;0:29.853;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:55.597;0;;34.746;0;37.779;0;43.072;0;65.0;5:41.636;17:08:41.636;0:34.746;0:37.779;0:43.072;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;2:05.057;0;;46.829;0;44.188;0;34.040;0;60.0;7:46.693;17:10:46.693;0:46.829;0:44.188;0:34.040;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;36:19.253;0;B;38.600;0;47.055;0;34:53.598;0;3.4;44:05.946;17:47:05.946;0:38.600;0:47.055;34:53.598;;Stoffel VANDOORNE;0:32:10.989;;;DS PENSKE;;;false;
1;1;6;44:44.987;0;B;38.684;0;43:35.496;0;30.807;0;2.8;1:28:50.933;18:31:50.933;0:38.684;43:35.496;0:30.807;;Stoffel VANDOORNE;0:40:54.699;;;DS PENSKE;;;false;
1;1;7;1:46.125;0;;34.725;0;40.370;0;31.030;0;70.8;1:30:37.058;18:33:37.058;0:34.725;0:40.370;0:31.030;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:31.317;0;;30.361;0;32.968;0;27.988;0;82.2;1:32:08.375;18:35:08.375;0:30.361;0:32.968;0:27.988;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:29.250;0;;29.850;0;32.266;0;27.134;0;84.1;1:33:37.625;18:36:37.625;0:29.850;0:32.266;0:27.134;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:30.038;0;;29.686;0;32.584;0;27.768;0;83.4;1:35:07.663;18:38:07.663;0:29.686;0:32.584;0:27.768;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:26.917;0;;29.384;0;31.079;0;26.454;0;86.4;1:36:34.580;18:39:34.580;0:29.384;0:31.079;0:26.454;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:27.135;0;;29.423;0;31.472;0;26.240;0;86.2;1:38:01.715;18:41:01.715;0:29.423;0:31.472;0:26.240;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:27.004;0;;29.264;0;30.976;0;26.764;0;86.3;1:39:28.719;18:42:28.719;0:29.264;0:30.976;0:26.764;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
