NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;31.428;0;;;0;;0;;0;218.2;31.428;20:07:52.229;;;;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;1;1:59.861;0;;43.809;0;35.210;0;40.842;0;74.9;2:31.289;20:09:52.090;0:43.809;0:35.210;0:40.842;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:16.899;0;;25.400;0;21.356;0;30.143;0;116.8;3:48.188;20:11:08.989;0:25.400;0:21.356;0:30.143;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:14.205;0;;24.189;0;20.510;0;29.506;0;121.0;5:02.393;20:12:23.194;0:24.189;0:20.510;0:29.506;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:13.019;0;;23.620;0;20.084;0;29.315;0;123.0;6:15.412;20:13:36.213;0:23.620;0:20.084;0:29.315;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:12.986;0;;23.546;0;20.010;0;29.430;0;123.1;7:28.398;20:14:49.199;0:23.546;0:20.010;0:29.430;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:12.620;0;;23.417;0;19.858;0;29.345;0;123.7;8:41.018;20:16:01.819;0:23.417;0:19.858;0:29.345;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:12.276;0;;23.205;0;19.744;0;29.327;0;124.3;9:53.294;20:17:14.095;0:23.205;0:19.744;0:29.327;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:13.434;0;;23.252;0;19.661;0;30.521;0;122.3;11:06.728;20:18:27.529;0:23.252;0:19.661;0:30.521;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:12.853;0;;23.313;0;19.231;0;30.309;0;123.3;12:19.581;20:19:40.382;0:23.313;0:19.231;0:30.309;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:11.209;0;;23.127;0;19.298;0;28.784;0;126.1;13:30.790;20:20:51.591;0:23.127;0:19.298;0:28.784;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:11.589;0;;23.053;0;19.456;0;29.080;0;125.5;14:42.379;20:22:03.180;0:23.053;0:19.456;0:29.080;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:11.951;0;;23.227;0;19.533;0;29.191;0;124.8;15:54.330;20:23:15.131;0:23.227;0:19.533;0:29.191;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:11.641;0;;23.112;0;19.455;0;29.074;0;125.4;17:05.971;20:24:26.772;0:23.112;0:19.455;0:29.074;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;14;1:11.867;0;;23.222;0;19.527;0;29.118;0;125.0;18:17.838;20:25:38.639;0:23.222;0:19.527;0:29.118;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;15;1:11.764;0;;23.100;0;19.514;0;29.150;0;125.2;19:29.602;20:26:50.403;0:23.100;0:19.514;0:29.150;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;16;1:11.747;0;;23.144;0;19.414;0;29.189;0;125.2;20:41.349;20:28:02.150;0:23.144;0:19.414;0:29.189;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;17;1:11.499;0;;23.064;0;19.486;0;28.949;0;125.6;21:52.848;20:29:13.649;0:23.064;0:19.486;0:28.949;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;18;1:11.725;0;;22.991;0;19.521;0;29.213;0;125.2;23:04.573;20:30:25.374;0:22.991;0:19.521;0:29.213;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;19;1:12.012;0;;23.117;0;19.567;0;29.328;0;124.7;24:16.585;20:31:37.386;0:23.117;0:19.567;0:29.328;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;20;1:11.603;0;;23.181;0;19.458;0;28.964;0;125.4;25:28.188;20:32:48.989;0:23.181;0:19.458;0:28.964;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;21;1:11.734;0;;23.067;0;19.458;0;29.209;0;125.2;26:39.922;20:34:00.723;0:23.067;0:19.458;0:29.209;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;22;1:11.824;0;;23.050;0;19.569;0;29.205;0;125.1;27:51.746;20:35:12.547;0:23.050;0:19.569;0:29.205;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;23;1:11.761;0;;23.132;0;19.670;0;28.959;0;125.2;29:03.507;20:36:24.308;0:23.132;0:19.670;0:28.959;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;24;1:12.110;0;;23.089;0;19.558;0;29.463;0;124.6;30:15.617;20:37:36.418;0:23.089;0:19.558;0:29.463;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;25;1:12.033;0;;23.297;0;19.676;0;29.060;0;124.7;31:27.650;20:38:48.451;0:23.297;0:19.676;0:29.060;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
