NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;1:18.811;0;;24.508;0;31.083;0;23.220;0;120.7;1:18.811;14:05:11.013;0:24.508;0:31.083;0:23.220;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;1;1:18.940;0;;25.157;0;31.122;0;22.661;0;133.8;2:37.751;14:06:29.953;0:25.157;0:31.122;0:22.661;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:18.030;0;;24.734;0;30.689;0;22.607;0;135.3;3:55.781;14:07:47.983;0:24.734;0:30.689;0:22.607;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:17.500;0;;24.554;0;30.604;0;22.342;0;136.2;5:13.281;14:09:05.483;0:24.554;0:30.604;0:22.342;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:17.245;0;;24.481;0;30.475;0;22.289;0;136.7;6:30.526;14:10:22.728;0:24.481;0:30.475;0:22.289;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:17.302;0;;25.218;0;29.957;0;22.127;0;136.6;7:47.828;14:11:40.030;0:25.218;0:29.957;0:22.127;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:17.181;0;;24.339;0;30.289;0;22.553;0;136.8;9:05.009;14:12:57.211;0:24.339;0:30.289;0:22.553;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:17.111;0;;24.602;0;30.417;0;22.092;0;136.9;10:22.120;14:14:14.322;0:24.602;0:30.417;0:22.092;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:28.174;0;;24.316;0;31.234;0;32.624;0;119.7;11:50.294;14:15:42.496;0:24.316;0:31.234;0:32.624;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;3:13.524;0;;56.611;0;1:25.130;0;51.783;0;54.6;15:03.818;14:18:56.020;0:56.611;1:25.130;0:51.783;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;3:10.200;0;;1:17.464;0;1:11.111;0;41.625;0;55.5;18:14.018;14:22:06.220;1:17.464;1:11.111;0:41.625;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:57.927;0;;43.140;0;41.131;0;33.656;0;89.5;20:11.945;14:24:04.147;0:43.140;0:41.131;0:33.656;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:18.718;0;;24.689;0;31.259;0;22.770;0;134.1;21:30.663;14:25:22.865;0:24.689;0:31.259;0:22.770;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:19.098;0;;24.896;0;31.320;0;22.882;0;133.5;22:49.761;14:26:41.963;0:24.896;0:31.320;0:22.882;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;14;1:18.856;0;;25.275;0;30.691;0;22.890;0;133.9;24:08.617;14:28:00.819;0:25.275;0:30.691;0:22.890;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;15;1:19.056;0;;25.305;0;31.448;0;22.303;0;133.6;25:27.673;14:29:19.875;0:25.305;0:31.448;0:22.303;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;16;1:47.808;0;;28.699;0;46.167;0;32.942;0;97.9;27:15.481;14:31:07.683;0:28.699;0:46.167;0:32.942;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;17;2:56.572;0;;49.000;0;1:20.788;0;46.784;0;59.8;30:12.053;14:34:04.255;0:49.000;1:20.788;0:46.784;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;18;1:59.744;0;;47.601;0;43.589;0;28.554;0;88.2;32:11.797;14:36:03.999;0:47.601;0:43.589;0:28.554;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;19;1:17.362;0;;25.703;0;29.727;0;21.932;0;136.5;33:29.159;14:37:21.361;0:25.703;0:29.727;0:21.932;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;20;1:16.056;0;;23.260;2;30.460;0;22.336;0;138.8;34:45.215;14:38:37.417;0:23.260;0:30.460;0:22.336;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;21;1:15.085;0;;23.996;0;29.113;0;21.976;0;140.6;36:00.300;14:39:52.502;0:23.996;0:29.113;0:21.976;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;22;1:14.638;0;;23.645;0;29.130;0;21.863;0;141.5;37:14.938;14:41:07.140;0:23.645;0:29.130;0:21.863;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;23;1:14.409;0;;23.652;0;28.839;0;21.918;0;141.9;38:29.347;14:42:21.549;0:23.652;0:28.839;0:21.918;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;24;1:15.453;0;;24.274;0;29.371;0;21.808;0;139.9;39:44.800;14:43:37.002;0:24.274;0:29.371;0:21.808;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;25;1:14.095;2;;23.569;0;28.764;2;21.762;2;142.5;40:58.895;14:44:51.097;0:23.569;0:28.764;0:21.762;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;26;1:14.278;0;;23.497;0;28.926;0;21.855;0;142.2;42:13.173;14:46:05.375;0:23.497;0:28.926;0:21.855;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;27;1:14.956;0;;23.778;0;29.216;0;21.962;0;140.9;43:28.129;14:47:20.331;0:23.778;0:29.216;0:21.962;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;28;1:15.074;0;;23.808;0;29.262;0;22.004;0;140.6;44:43.203;14:48:35.405;0:23.808;0:29.262;0:22.004;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;29;1:15.112;0;;23.751;0;29.412;0;21.949;0;140.6;45:58.315;14:49:50.517;0:23.751;0:29.412;0:21.949;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
