NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:16.071;0;;30.381;0;22.037;0;23.653;0;111.4;1:16.071;15:05:21.684;0:30.381;0:22.037;0:23.653;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:09.742;0;;24.437;0;21.814;0;23.491;0;121.6;2:25.813;15:06:31.426;0:24.437;0:21.814;0:23.491;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:11.895;0;;24.173;0;24.185;0;23.537;0;117.9;3:37.708;15:07:43.321;0:24.173;0:24.185;0:23.537;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:09.489;0;;24.113;0;21.492;0;23.884;0;122.0;4:47.197;15:08:52.810;0:24.113;0:21.492;0:23.884;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:09.810;0;;24.311;0;21.854;0;23.645;0;121.4;5:57.007;15:10:02.620;0:24.311;0:21.854;0:23.645;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:09.839;0;;24.258;0;21.825;0;23.756;0;121.4;7:06.846;15:11:12.459;0:24.258;0:21.825;0:23.756;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:10.454;0;;24.545;0;21.669;0;24.240;0;120.3;8:17.300;15:12:22.913;0:24.545;0:21.669;0:24.240;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:10.883;0;;25.057;0;22.111;0;23.715;0;119.6;9:28.183;15:13:33.796;0:25.057;0:22.111;0:23.715;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:10.424;0;;24.640;0;21.667;0;24.117;0;120.4;10:38.607;15:14:44.220;0:24.640;0:21.667;0:24.117;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:11.251;0;;25.009;0;22.147;0;24.095;0;119.0;11:49.858;15:15:55.471;0:25.009;0:22.147;0:24.095;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:11.255;0;;24.068;0;22.752;0;24.435;0;119.0;13:01.113;15:17:06.726;0:24.068;0:22.752;0:24.435;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
