NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:17.863;0;;26.773;0;22.631;0;28.459;0;109.6;1:17.863;15:07:52.155;0:26.773;0:22.631;0:28.459;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:12.079;0;;21.039;0;22.361;0;28.679;0;118.4;2:29.942;15:09:04.234;0:21.039;0:22.361;0:28.679;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:11.810;0;;20.926;0;22.385;0;28.499;0;118.8;3:41.752;15:10:16.044;0:20.926;0:22.385;0:28.499;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:11.381;0;;20.715;0;22.251;0;28.415;0;119.5;4:53.133;15:11:27.425;0:20.715;0:22.251;0:28.415;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:11.121;0;;20.822;0;21.965;0;28.334;0;120.0;6:04.254;15:12:38.546;0:20.822;0:21.965;0:28.334;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:11.613;0;;20.905;0;22.145;0;28.563;0;119.1;7:15.867;15:13:50.159;0:20.905;0:22.145;0:28.563;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:10.855;0;;20.677;0;22.029;0;28.149;0;120.4;8:26.722;15:15:01.014;0:20.677;0:22.029;0:28.149;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:11.572;0;;20.586;0;22.202;0;28.784;0;119.2;9:38.294;15:16:12.586;0:20.586;0:22.202;0:28.784;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:12.346;0;;21.623;0;22.228;0;28.495;0;117.9;10:50.640;15:17:24.932;0:21.623;0:22.228;0:28.495;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:12.260;0;;20.854;0;22.713;0;28.693;0;118.1;12:02.900;15:18:37.192;0:20.854;0:22.713;0:28.693;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:12.723;0;;21.295;0;22.592;0;28.836;0;117.3;13:15.623;15:19:49.915;0:21.295;0:22.592;0:28.836;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:12.648;0;;21.081;0;22.941;0;28.626;0;117.4;14:28.271;15:21:02.563;0:21.081;0:22.941;0:28.626;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:12.659;0;;20.963;0;22.784;0;28.912;0;117.4;15:40.930;15:22:15.222;0:20.963;0:22.784;0:28.912;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;14;1:13.330;0;;20.749;0;22.649;0;29.932;0;116.4;16:54.260;15:23:28.552;0:20.749;0:22.649;0:29.932;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;15;1:10.133;2;;20.450;0;21.658;0;28.025;0;121.7;18:04.393;15:24:38.685;0:20.450;0:21.658;0:28.025;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;16;1:10.289;0;;20.454;0;21.822;0;28.013;2;121.4;19:14.682;15:25:48.974;0:20.454;0:21.822;0:28.013;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;17;1:11.339;0;;20.959;0;22.093;0;28.287;0;119.6;20:26.021;15:27:00.313;0:20.959;0:22.093;0:28.287;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;18;1:11.454;0;;20.997;0;22.198;0;28.259;0;119.4;21:37.475;15:28:11.767;0:20.997;0:22.198;0:28.259;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;19;1:11.662;0;;20.801;0;22.366;0;28.495;0;119.1;22:49.137;15:29:23.429;0:20.801;0:22.366;0:28.495;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;20;1:12.595;0;;20.618;0;22.147;0;29.830;0;117.5;24:01.732;15:30:36.024;0:20.618;0:22.147;0:29.830;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;21;1:10.191;0;;20.409;0;21.627;2;28.155;0;121.6;25:11.923;15:31:46.215;0:20.409;0:21.627;0:28.155;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;22;1:10.572;0;;20.367;2;21.956;0;28.249;0;120.9;26:22.495;15:32:56.787;0:20.367;0:21.956;0:28.249;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;23;1:10.819;0;;20.657;0;21.950;0;28.212;0;120.5;27:33.314;15:34:07.606;0:20.657;0:21.950;0:28.212;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;24;1:10.741;0;;20.531;0;22.026;0;28.184;0;120.6;28:44.055;15:35:18.347;0:20.531;0:22.026;0:28.184;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;25;1:10.413;0;;20.557;0;21.730;0;28.126;0;121.2;29:54.468;15:36:28.760;0:20.557;0:21.730;0:28.126;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;26;1:10.561;0;;20.451;0;21.929;0;28.181;0;120.9;31:05.029;15:37:39.321;0:20.451;0:21.929;0:28.181;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;27;1:10.809;0;;20.530;0;21.913;0;28.366;0;120.5;32:15.838;15:38:50.130;0:20.530;0:21.913;0:28.366;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;28;1:10.984;0;;20.727;0;22.034;0;28.223;0;120.2;33:26.822;15:40:01.114;0:20.727;0:22.034;0:28.223;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;29;1:11.593;0;;20.848;0;22.404;0;28.341;0;119.2;34:38.415;15:41:12.707;0:20.848;0:22.404;0:28.341;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;30;1:11.191;0;;20.715;0;22.160;0;28.316;0;119.8;35:49.606;15:42:23.898;0:20.715;0:22.160;0:28.316;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;31;1:11.456;0;;20.959;0;22.207;0;28.290;0;119.4;37:01.062;15:43:35.354;0:20.959;0:22.207;0:28.290;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;32;1:12.847;0;;20.701;0;22.152;0;29.994;0;117.1;38:13.909;15:44:48.201;0:20.701;0:22.152;0:29.994;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;33;1:13.053;0;;21.315;0;23.360;0;28.378;0;116.8;39:26.962;15:46:01.254;0:21.315;0:23.360;0:28.378;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;34;1:11.468;0;;21.022;0;22.144;0;28.302;0;119.4;40:38.430;15:47:12.722;0:21.022;0:22.144;0:28.302;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;35;1:10.790;0;;20.570;0;21.962;0;28.258;0;120.5;41:49.220;15:48:23.512;0:20.570;0:21.962;0:28.258;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;36;1:11.458;0;;20.553;0;22.140;0;28.765;0;119.4;43:00.678;15:49:34.970;0:20.553;0:22.140;0:28.765;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;37;1:11.859;0;;20.737;0;22.448;0;28.674;0;118.7;44:12.537;15:50:46.829;0:20.737;0:22.448;0:28.674;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;38;1:11.378;0;;21.232;0;21.912;0;28.234;0;119.5;45:23.915;15:51:58.207;0:21.232;0:21.912;0:28.234;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
11;1;1;1:23.523;0;;29.285;0;24.256;0;29.982;0;102.2;1:23.523;15:07:57.815;0:29.285;0:24.256;0:29.982;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;2;1:11.733;0;;20.848;0;22.331;0;28.554;0;118.9;2:35.256;15:09:09.548;0:20.848;0:22.331;0:28.554;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;3;1:11.562;0;;20.723;0;22.113;0;28.726;0;119.2;3:46.818;15:10:21.110;0:20.723;0:22.113;0:28.726;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;4;1:11.348;0;;20.731;0;22.199;0;28.418;0;119.6;4:58.166;15:11:32.458;0:20.731;0:22.199;0:28.418;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;5;1:13.138;0;;20.614;0;22.346;0;30.178;0;116.7;6:11.304;15:12:45.596;0:20.614;0:22.346;0:30.178;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;6;1:10.940;0;;20.441;0;22.106;0;28.393;0;120.3;7:22.244;15:13:56.536;0:20.441;0:22.106;0:28.393;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;7;1:10.196;2;;20.430;0;21.699;2;28.067;2;121.5;8:32.440;15:15:06.732;0:20.430;0:21.699;0:28.067;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;8;1:10.654;0;;20.460;0;21.927;0;28.267;0;120.8;9:43.094;15:16:17.386;0:20.460;0:21.927;0:28.267;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;9;1:11.914;0;;20.769;0;22.175;0;28.970;0;118.6;10:55.008;15:17:29.300;0:20.769;0:22.175;0:28.970;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;10;1:11.742;0;;20.681;0;22.154;0;28.907;0;118.9;12:06.750;15:18:41.042;0:20.681;0:22.154;0:28.907;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;11;1:12.865;0;;20.795;0;22.693;0;29.377;0;117.1;13:19.615;15:19:53.907;0:20.795;0:22.693;0:29.377;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;12;1:12.138;0;;20.646;0;22.324;0;29.168;0;118.3;14:31.753;15:21:06.045;0:20.646;0:22.324;0:29.168;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;13;1:13.713;0;;21.028;0;22.415;0;30.270;0;115.7;15:45.466;15:22:19.758;0:21.028;0:22.415;0:30.270;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;14;1:12.218;0;;20.794;0;22.235;0;29.189;0;118.1;16:57.684;15:23:31.976;0:20.794;0:22.235;0:29.189;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;15;1:11.666;0;;20.917;0;22.289;0;28.460;0;119.1;18:09.350;15:24:43.642;0:20.917;0:22.289;0:28.460;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;16;1:10.987;0;;20.612;0;22.031;0;28.344;0;120.2;19:20.337;15:25:54.629;0:20.612;0:22.031;0:28.344;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;17;1:11.318;0;;20.491;0;22.045;0;28.782;0;119.6;20:31.655;15:27:05.947;0:20.491;0:22.045;0:28.782;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;18;1:11.429;0;;20.690;0;22.326;0;28.413;0;119.4;21:43.084;15:28:17.376;0:20.690;0:22.326;0:28.413;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;19;1:11.429;0;;20.554;0;22.269;0;28.606;0;119.4;22:54.513;15:29:28.805;0:20.554;0:22.269;0:28.606;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;20;1:11.091;0;;20.706;0;22.068;0;28.317;0;120.0;24:05.604;15:30:39.896;0:20.706;0:22.068;0:28.317;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;21;1:10.991;0;;20.731;0;21.960;0;28.300;0;120.2;25:16.595;15:31:50.887;0:20.731;0:21.960;0:28.300;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;22;1:10.789;0;;20.516;0;22.052;0;28.221;0;120.5;26:27.384;15:33:01.676;0:20.516;0:22.052;0:28.221;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;23;1:12.111;0;;20.482;0;21.869;0;29.760;0;118.3;27:39.495;15:34:13.787;0:20.482;0:21.869;0:29.760;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;24;1:10.639;0;;20.394;2;21.958;0;28.287;0;120.8;28:50.134;15:35:24.426;0:20.394;0:21.958;0:28.287;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;25;1:11.187;0;;21.025;0;21.965;0;28.197;0;119.9;30:01.321;15:36:35.613;0:21.025;0:21.965;0:28.197;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;26;1:10.695;0;;20.647;0;21.949;0;28.099;0;120.7;31:12.016;15:37:46.308;0:20.647;0:21.949;0:28.099;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;27;1:11.156;0;;20.657;0;22.112;0;28.387;0;119.9;32:23.172;15:38:57.464;0:20.657;0:22.112;0:28.387;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;28;1:10.736;0;;20.540;0;21.892;0;28.304;0;120.6;33:33.908;15:40:08.200;0:20.540;0:21.892;0:28.304;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;29;1:11.057;0;;20.707;0;21.991;0;28.359;0;120.1;34:44.965;15:41:19.257;0:20.707;0:21.991;0:28.359;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;30;1:10.865;0;;20.543;0;22.001;0;28.321;0;120.4;35:55.830;15:42:30.122;0:20.543;0:22.001;0:28.321;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;31;1:11.071;0;;20.715;0;21.975;0;28.381;0;120.0;37:06.901;15:43:41.193;0:20.715;0:21.975;0:28.381;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;32;1:10.860;0;;20.417;0;22.095;0;28.348;0;120.4;38:17.761;15:44:52.053;0:20.417;0:22.095;0:28.348;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
11;1;33;1:11.385;0;;20.770;0;22.231;0;28.384;0;119.5;39:29.146;15:46:03.438;0:20.770;0:22.231;0:28.384;;Lucas DI GRASSI;;;;MAHINDRA RACING;;;false;
