NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;1:46.084;0;;19.900;0;41.560;0;44.624;0;114.7;1:46.084;15:06:52.923;0:19.900;0:41.560;0:44.624;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;1;1:49.993;0;;26.833;0;38.661;0;44.499;0;110.6;3:36.077;15:08:42.916;0:26.833;0:38.661;0:44.499;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;2:10.383;0;;26.275;0;39.804;0;1:04.304;0;93.3;5:46.460;15:10:53.299;0:26.275;0:39.804;1:04.304;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;3:25.268;0;;56.004;0;1:34.964;0;54.300;0;59.3;9:11.728;15:14:18.567;0:56.004;1:34.964;0:54.300;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:46.491;0;;26.332;0;34.900;0;45.259;0;114.3;10:58.219;15:16:05.058;0:26.332;0:34.900;0:45.259;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:43.018;0;;25.616;0;34.312;0;43.090;0;118.1;12:41.237;15:17:48.076;0:25.616;0:34.312;0:43.090;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:44.317;0;;25.978;0;35.051;0;43.288;0;116.6;14:25.554;15:19:32.393;0:25.978;0:35.051;0:43.288;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:43.033;0;;25.539;0;33.895;0;43.599;0;118.1;16:08.587;15:21:15.426;0:25.539;0:33.895;0:43.599;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:43.495;0;;25.543;0;33.918;0;44.034;0;117.6;17:52.082;15:22:58.921;0:25.543;0:33.918;0:44.034;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:41.287;2;;25.123;2;33.632;0;42.532;2;120.1;19:33.369;15:24:40.208;0:25.123;0:33.632;0:42.532;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:43.715;0;;25.557;0;34.452;0;43.706;0;117.3;21:17.084;15:26:23.923;0:25.557;0:34.452;0:43.706;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:43.660;0;;25.563;0;34.754;0;43.343;0;117.4;23:00.744;15:28:07.583;0:25.563;0:34.754;0:43.343;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:43.925;0;;25.782;0;35.122;0;43.021;0;117.1;24:44.669;15:29:51.508;0:25.782;0:35.122;0:43.021;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:43.453;0;;25.836;0;34.431;0;43.186;0;117.6;26:28.122;15:31:34.961;0:25.836;0:34.431;0:43.186;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
