NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:24.936;0;;33.648;0;27.620;0;23.668;0;83.8;1:24.936;17:06:17.362;0:33.648;0:27.620;0:23.668;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:18.569;0;;27.962;0;26.511;0;24.096;0;95.6;2:43.505;17:07:35.931;0:27.962;0:26.511;0:24.096;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:18.199;0;;27.138;0;26.389;0;24.672;0;96.0;4:01.704;17:08:54.130;0:27.138;0:26.389;0:24.672;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:16.993;0;;28.864;0;25.250;0;22.879;0;97.5;5:18.697;17:10:11.123;0:28.864;0:25.250;0:22.879;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:17.914;0;;28.128;0;26.307;0;23.479;0;96.4;6:36.611;17:11:29.037;0:28.128;0:26.307;0:23.479;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:16.184;0;;26.497;0;26.029;0;23.658;0;98.6;7:52.795;17:12:45.221;0:26.497;0:26.029;0:23.658;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:17.593;0;;28.384;0;26.033;0;23.176;0;96.8;9:10.388;17:14:02.814;0:28.384;0:26.033;0:23.176;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:16.907;0;;27.048;0;25.735;0;24.124;0;97.6;10:27.295;17:15:19.721;0:27.048;0:25.735;0:24.124;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:15.299;0;;26.398;0;25.182;0;23.719;0;99.7;11:42.594;17:16:35.020;0:26.398;0:25.182;0:23.719;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:16.067;0;;26.331;0;25.756;0;23.980;0;98.7;12:58.661;17:17:51.087;0:26.331;0:25.756;0:23.980;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
