NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:24.248;0;;40.274;0;23.271;0;20.703;0;124.8;1:24.248;16:05:03.961;0:40.274;0:23.271;0:20.703;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;2:08.527;0;;29.815;0;40.658;0;58.054;0;81.8;3:32.775;16:07:12.488;0:29.815;0:40.658;0:58.054;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;2:41.797;0;;54.013;0;1:02.576;0;45.208;0;65.0;6:14.572;16:09:54.285;0:54.013;1:02.576;0:45.208;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:50.189;0;;41.839;0;40.287;0;28.063;0;95.4;8:04.761;16:11:44.474;0:41.839;0:40.287;0:28.063;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:39.194;0;;37.318;0;32.794;0;29.082;0;106.0;9:43.955;16:13:23.668;0:37.318;0:32.794;0:29.082;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:12.707;0;;30.028;0;22.385;0;20.294;0;144.6;10:56.662;16:14:36.375;0:30.028;0:22.385;0:20.294;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:12.602;0;;29.002;0;22.202;0;21.398;0;144.8;12:09.264;16:15:48.977;0:29.002;0:22.202;0:21.398;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:10.841;0;;28.526;0;21.685;0;20.630;0;148.4;13:20.105;16:16:59.818;0:28.526;0:21.685;0:20.630;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:11.036;0;;29.217;0;22.028;0;19.791;0;148.0;14:31.141;16:18:10.854;0:29.217;0:22.028;0:19.791;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:10.822;0;;28.843;0;22.049;0;19.930;0;148.5;15:41.963;16:19:21.676;0:28.843;0:22.049;0:19.930;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
