NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:56.482;0;;42.754;0;44.322;0;29.406;0;103.1;1:56.482;15:05:55.171;0:42.754;0:44.322;0:29.406;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:43.005;0;;29.607;0;43.891;0;29.507;0;116.6;3:39.487;15:07:38.176;0:29.607;0:43.891;0:29.507;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:39.868;0;;31.167;0;40.925;0;27.776;0;120.3;5:19.355;15:09:18.044;0:31.167;0:40.925;0:27.776;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:40.184;0;;30.165;0;41.817;0;28.202;0;119.9;6:59.539;15:10:58.228;0:30.165;0:41.817;0:28.202;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:40.325;0;;28.896;0;43.346;0;28.083;0;119.7;8:39.864;15:12:38.553;0:28.896;0:43.346;0:28.083;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:40.903;0;;29.594;0;43.499;0;27.810;0;119.1;10:20.767;15:14:19.456;0:29.594;0:43.499;0:27.810;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:38.418;0;;29.122;0;42.298;0;26.998;0;122.1;11:59.185;15:15:57.874;0:29.122;0:42.298;0:26.998;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:36.310;0;;28.261;0;40.849;0;27.200;0;124.7;13:35.495;15:17:34.184;0:28.261;0:40.849;0:27.200;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:36.513;0;;29.151;0;40.377;0;26.985;0;124.5;15:12.008;15:19:10.697;0:29.151;0:40.377;0:26.985;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:36.025;0;;28.422;0;40.553;0;27.050;0;125.1;16:48.033;15:20:46.722;0:28.422;0:40.553;0:27.050;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:35.424;0;;28.481;0;40.078;0;26.865;0;125.9;18:23.457;15:22:22.146;0:28.481;0:40.078;0:26.865;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:34.713;0;;28.079;0;39.939;0;26.695;0;126.8;19:58.170;15:23:56.859;0:28.079;0:39.939;0:26.695;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:34.532;0;;27.914;0;40.115;0;26.503;0;127.1;21:32.702;15:25:31.391;0:27.914;0:40.115;0:26.503;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;14;1:34.971;0;;27.806;0;39.963;0;27.202;0;126.5;23:07.673;15:27:06.362;0:27.806;0:39.963;0:27.202;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;15;1:36.793;0;;28.189;0;41.338;0;27.266;0;124.1;24:44.466;15:28:43.155;0:28.189;0:41.338;0:27.266;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;16;1:36.624;0;;28.410;0;41.162;0;27.052;0;124.3;26:21.090;15:30:19.779;0:28.410;0:41.162;0:27.052;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;17;1:34.336;0;;27.823;0;40.042;0;26.471;0;127.3;27:55.426;15:31:54.115;0:27.823;0:40.042;0:26.471;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;18;1:37.770;0;;29.553;0;41.016;0;27.201;0;122.9;29:33.196;15:33:31.885;0:29.553;0:41.016;0:27.201;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;19;1:37.960;0;;28.327;0;41.885;0;27.748;0;122.6;31:11.156;15:35:09.845;0:28.327;0:41.885;0:27.748;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;20;1:35.432;0;;28.178;0;40.333;0;26.921;0;125.9;32:46.588;15:36:45.277;0:28.178;0:40.333;0:26.921;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
