NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;1;1:25.914;0;;31.053;0;31.896;0;22.965;0;110.1;1:25.914;14:05:11.116;0:31.053;0:31.896;0:22.965;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:39.188;0;;26.889;0;46.108;0;26.191;0;95.4;3:05.102;14:06:50.304;0:26.889;0:46.108;0:26.191;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;2:00.632;0;;39.383;0;53.640;0;27.609;0;78.4;5:05.734;14:08:50.936;0:39.383;0:53.640;0:27.609;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:54.197;0;;40.150;0;42.465;0;31.582;0;82.8;6:59.931;14:10:45.133;0:40.150;0:42.465;0:31.582;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:28.470;0;;29.850;0;31.831;0;26.789;0;106.9;8:28.401;14:12:13.603;0:29.850;0:31.831;0:26.789;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:16.119;0;;24.097;0;29.577;0;22.445;0;124.3;9:44.520;14:13:29.722;0:24.097;0:29.577;0:22.445;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;2:05.995;0;;41.033;0;37.084;0;47.878;0;75.1;11:50.515;14:15:35.717;0:41.033;0:37.084;0:47.878;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;2:50.729;0;B;58.605;0;52.710;0;59.414;0;55.4;14:41.244;14:18:26.446;0:58.605;0:52.710;0:59.414;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:44.312;0;;51.992;0;30.282;0;22.038;2;90.7;16:25.556;14:20:10.758;0:51.992;0:30.282;0:22.038;;Stoffel VANDOORNE;0:00:32.133;;;DS PENSKE;;;false;
1;1;10;1:17.084;0;;23.639;0;29.729;0;23.716;0;122.7;17:42.640;14:21:27.842;0:23.639;0:29.729;0:23.716;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:14.960;0;;23.222;2;29.133;2;22.605;0;126.2;18:57.600;14:22:42.802;0:23.222;0:29.133;0:22.605;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:15.096;0;;23.332;0;29.532;0;22.232;0;126.0;20:12.696;14:23:57.898;0:23.332;0:29.532;0:22.232;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:15.567;0;;23.752;0;29.663;0;22.152;0;125.2;21:28.263;14:25:13.465;0:23.752;0:29.663;0:22.152;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;14;1:14.812;2;;23.432;0;29.167;0;22.213;0;126.5;22:43.075;14:26:28.277;0:23.432;0:29.167;0:22.213;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;15;1:15.213;0;;23.511;0;29.341;0;22.361;0;125.8;23:58.288;14:27:43.490;0:23.511;0:29.341;0:22.361;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;16;1:15.363;0;;23.602;0;29.402;0;22.359;0;125.5;25:13.651;14:28:58.853;0:23.602;0:29.402;0:22.359;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
