NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
1;1;0;1:16.124;0;;18.741;0;27.861;0;29.522;0;100.3;1:16.124;15:06:46.424;0:18.741;0:27.861;0:29.522;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;1;1:18.849;0;;25.020;0;25.149;0;28.680;0;129.4;2:34.973;15:08:05.273;0:25.020;0:25.149;0:28.680;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;2;1:18.786;0;;24.622;0;25.598;0;28.566;0;129.5;3:53.759;15:09:24.059;0:24.622;0:25.598;0:28.566;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;3;1:17.182;0;;24.069;0;24.575;0;28.538;0;132.2;5:10.941;15:10:41.241;0:24.069;0:24.575;0:28.538;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;4;1:16.527;0;;23.826;0;24.560;0;28.141;0;133.4;6:27.468;15:11:57.768;0:23.826;0:24.560;0:28.141;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;5;1:18.286;0;;25.030;0;24.634;0;28.622;0;130.4;7:45.754;15:13:16.054;0:25.030;0:24.634;0:28.622;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;6;1:16.443;0;;23.569;0;24.619;0;28.255;0;133.5;9:02.197;15:14:32.497;0:23.569;0:24.619;0:28.255;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;7;1:16.128;0;;23.520;0;24.417;0;28.191;0;134.1;10:18.325;15:15:48.625;0:23.520;0:24.417;0:28.191;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;8;1:17.534;0;;24.143;0;24.967;0;28.424;0;131.6;11:35.859;15:17:06.159;0:24.143;0:24.967;0:28.424;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;9;1:16.001;0;;23.617;0;24.345;0;28.039;0;134.3;12:51.860;15:18:22.160;0:23.617;0:24.345;0:28.039;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;10;1:16.327;0;;23.749;0;24.354;0;28.224;0;133.7;14:08.187;15:19:38.487;0:23.749;0:24.354;0:28.224;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;11;1:16.294;0;;23.690;0;24.383;0;28.221;0;133.8;15:24.481;15:20:54.781;0:23.690;0:24.383;0:28.221;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;12;1:16.205;0;;23.811;0;24.253;0;28.141;0;133.9;16:40.686;15:22:10.986;0:23.811;0:24.253;0:28.141;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
1;1;13;1:16.043;0;;23.910;0;24.272;0;27.861;0;134.2;17:56.729;15:23:27.029;0:23.910;0:24.272;0:27.861;;Stoffel VANDOORNE;;;;DS PENSKE;;;false;
