NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;1:05.925;0;;30.284;0;17.742;0;17.899;0;96.4;1:05.925;16:34:52.260;0:30.284;0:17.742;0:17.899;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;2;56.072;0;;21.876;0;16.882;0;17.314;0;113.3;2:01.997;16:35:48.332;0:21.876;0:16.882;0:17.314;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;3;54.911;0;;21.100;0;16.741;0;17.070;0;115.7;2:56.908;16:36:43.243;0:21.100;0:16.741;0:17.070;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;54.202;0;;20.682;0;16.454;0;17.066;0;117.2;3:51.110;16:37:37.445;0:20.682;0:16.454;0:17.066;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;53.740;0;;20.566;0;16.177;0;16.997;0;118.2;4:44.850;16:38:31.185;0:20.566;0:16.177;0:16.997;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;53.959;0;;20.603;0;16.342;0;17.014;0;117.8;5:38.809;16:39:25.144;0:20.603;0:16.342;0:17.014;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;53.446;0;;20.373;0;16.242;0;16.831;0;118.9;6:32.255;16:40:18.590;0:20.373;0:16.242;0:16.831;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;8;53.758;0;;20.280;0;16.524;0;16.954;0;118.2;7:26.013;16:41:12.348;0:20.280;0:16.524;0:16.954;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;53.579;0;;20.615;0;16.090;0;16.874;0;118.6;8:19.592;16:42:05.927;0:20.615;0:16.090;0:16.874;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;53.834;0;;20.495;0;16.292;0;17.047;0;118.0;9:13.426;16:42:59.761;0:20.495;0:16.292;0:17.047;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;11;53.262;0;;20.272;0;16.229;0;16.761;0;119.3;10:06.688;16:43:53.023;0:20.272;0:16.229;0:16.761;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;12;53.358;0;;20.410;0;16.187;0;16.761;0;119.1;11:00.046;16:44:46.381;0:20.410;0:16.187;0:16.761;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;13;53.502;0;;20.299;0;16.285;0;16.918;0;118.8;11:53.548;16:45:39.883;0:20.299;0:16.285;0:16.918;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;14;53.641;0;;20.390;0;16.329;0;16.922;0;118.5;12:47.189;16:46:33.524;0:20.390;0:16.329;0:16.922;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;15;53.656;0;;20.443;0;16.224;0;16.989;0;118.4;13:40.845;16:47:27.180;0:20.443;0:16.224;0:16.989;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;16;53.596;0;;20.348;0;16.282;0;16.966;0;118.6;14:34.441;16:48:20.776;0:20.348;0:16.282;0:16.966;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;17;53.716;0;;20.434;0;16.344;0;16.938;0;118.3;15:28.157;16:49:14.492;0:20.434;0:16.344;0:16.938;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;18;53.696;0;;20.522;0;16.252;0;16.922;0;118.3;16:21.853;16:50:08.188;0:20.522;0:16.252;0:16.922;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
