NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;0;58.597;0;;9.628;0;27.208;0;21.761;0;94.6;58.597;16:06:13.758;0:09.628;0:27.208;0:21.761;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;1;1:05.874;0;;18.243;0;25.941;0;21.690;0;104.9;2:04.471;16:07:19.632;0:18.243;0:25.941;0:21.690;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;2;1:04.629;0;;17.917;0;25.532;0;21.180;0;106.9;3:09.100;16:08:24.261;0:17.917;0:25.532;0:21.180;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;3;1:03.863;0;;17.714;0;25.146;0;21.003;0;108.2;4:12.963;16:09:28.124;0:17.714;0:25.146;0:21.003;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;1:03.348;0;;17.502;0;25.117;0;20.729;2;109.1;5:16.311;16:10:31.472;0:17.502;0:25.117;0:20.729;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;1:03.312;0;;17.548;0;24.996;0;20.768;0;109.2;6:19.623;16:11:34.784;0:17.548;0:24.996;0:20.768;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;1:03.434;0;;17.525;0;24.972;0;20.937;0;109.0;7:23.057;16:12:38.218;0:17.525;0:24.972;0:20.937;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;1:03.537;0;;17.528;0;25.082;0;20.927;0;108.8;8:26.594;16:13:41.755;0:17.528;0:25.082;0:20.927;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;8;1:03.437;0;;17.332;2;25.020;0;21.085;0;109.0;9:30.031;16:14:45.192;0:17.332;0:25.020;0:21.085;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;1:03.113;2;;17.417;0;24.797;2;20.899;0;109.5;10:33.144;16:15:48.305;0:17.417;0:24.797;0:20.899;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;1:03.359;0;;17.444;0;25.041;0;20.874;0;109.1;11:36.503;16:16:51.664;0:17.444;0:25.041;0:20.874;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;11;1:05.934;0;;17.376;0;26.995;0;21.563;0;104.8;12:42.437;16:17:57.598;0:17.376;0:26.995;0:21.563;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;12;1:04.260;0;;17.866;0;25.553;0;20.841;0;107.6;13:46.697;16:19:01.858;0:17.866;0:25.553;0:20.841;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;13;1:07.617;0;;17.361;0;27.415;0;22.841;0;102.2;14:54.314;16:20:09.475;0:17.361;0:27.415;0:22.841;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;14;1:12.420;0;;20.491;0;28.452;0;23.477;0;95.4;16:06.734;16:21:21.895;0:20.491;0:28.452;0:23.477;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;15;1:15.434;0;;20.096;0;29.267;0;26.071;0;91.6;17:22.168;16:22:37.329;0:20.096;0:29.267;0:26.071;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;225;
11;1;16;2:14.585;0;;43.962;0;41.981;0;48.642;0;51.4;19:36.753;16:24:51.914;0:43.962;0:41.981;0:48.642;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
