NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
10;1;1;1:28.367;0;;34.530;0;25.435;0;28.402;0;87.2;1:28.367;15:05:09.197;0:34.530;0:25.435;0:28.402;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;2;1:16.660;0;;25.948;0;23.727;0;26.985;0;100.5;2:45.027;15:06:25.857;0:25.948;0:23.727;0:26.985;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;3;1:24.505;0;;25.426;0;23.761;0;35.318;0;91.2;4:09.532;15:07:50.362;0:25.426;0:23.761;0:35.318;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;4;2:06.036;0;;37.631;0;43.329;0;45.076;0;61.2;6:15.568;15:09:56.398;0:37.631;0:43.329;0:45.076;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;5;1:51.998;0;;43.157;0;36.128;0;32.713;0;68.8;8:07.566;15:11:48.396;0:43.157;0:36.128;0:32.713;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;6;1:16.367;0;;25.533;0;23.616;0;27.218;0;100.9;9:23.933;15:13:04.763;0:25.533;0:23.616;0:27.218;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;7;1:17.359;0;;25.452;0;23.432;0;28.475;0;99.6;10:41.292;15:14:22.122;0:25.452;0:23.432;0:28.475;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;8;1:16.128;0;;25.204;0;23.336;0;27.588;0;101.2;11:57.420;15:15:38.250;0:25.204;0:23.336;0:27.588;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;9;1:16.164;0;;25.125;0;23.105;2;27.934;0;101.2;13:13.584;15:16:54.414;0:25.125;0:23.105;0:27.934;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;10;1:15.280;0;;24.986;0;23.340;0;26.954;0;102.4;14:28.864;15:18:09.694;0:24.986;0:23.340;0:26.954;;Sam BIRD;;;;Jaguar TCS Racing;;250;false;
10;1;11;1:15.125;0;;25.076;0;23.212;0;26.837;0;102.6;15:43.989;15:19:24.819;0:25.076;0:23.212;0:26.837;;Sam BIRD;;;;Jaguar TCS Racing;;250;false;
10;1;12;1:15.028;0;;25.095;0;23.162;0;26.771;2;102.7;16:59.017;15:20:39.847;0:25.095;0:23.162;0:26.771;;Sam BIRD;;;;Jaguar TCS Racing;;250;false;
10;1;13;1:15.404;0;;25.186;0;23.319;0;26.899;0;102.2;18:14.421;15:21:55.251;0:25.186;0:23.319;0:26.899;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;14;1:15.529;0;;25.141;0;23.441;0;26.947;0;102.0;19:29.950;15:23:10.780;0:25.141;0:23.441;0:26.947;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;15;1:16.475;0;;25.178;0;23.271;0;28.026;0;100.8;20:46.425;15:24:27.255;0:25.178;0:23.271;0:28.026;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;16;1:15.744;0;;24.911;2;23.258;0;27.575;0;101.8;22:02.169;15:25:42.999;0:24.911;0:23.258;0:27.575;;Sam BIRD;;;;Jaguar TCS Racing;;250;false;
10;1;17;1:15.012;2;;25.017;0;23.196;0;26.799;0;102.8;23:17.181;15:26:58.011;0:25.017;0:23.196;0:26.799;;Sam BIRD;;;;Jaguar TCS Racing;;250;false;
10;1;18;1:15.073;0;;24.949;0;23.179;0;26.945;0;102.7;24:32.254;15:28:13.084;0:24.949;0:23.179;0:26.945;;Sam BIRD;;;;Jaguar TCS Racing;;250;false;
10;1;19;1:15.454;0;;25.136;0;23.474;0;26.844;0;102.1;25:47.708;15:29:28.538;0:25.136;0:23.474;0:26.844;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;20;1:15.331;0;;25.055;0;23.374;0;26.902;0;102.3;27:03.039;15:30:43.869;0:25.055;0:23.374;0:26.902;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;21;1:16.491;0;;25.792;0;23.394;0;27.305;0;100.8;28:19.530;15:32:00.360;0:25.792;0:23.394;0:27.305;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;22;1:15.447;0;;25.140;0;23.355;0;26.952;0;102.2;29:34.977;15:33:15.807;0:25.140;0:23.355;0:26.952;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;23;1:15.562;0;;25.162;0;23.443;0;26.957;0;102.0;30:50.539;15:34:31.369;0:25.162;0:23.443;0:26.957;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;24;1:15.663;0;;25.389;0;23.353;0;26.921;0;101.9;32:06.202;15:35:47.032;0:25.389;0:23.353;0:26.921;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;25;1:16.428;0;;25.797;0;23.444;0;27.187;0;100.8;33:22.630;15:37:03.460;0:25.797;0:23.444;0:27.187;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;26;1:15.703;0;;25.308;0;23.497;0;26.898;0;101.8;34:38.333;15:38:19.163;0:25.308;0:23.497;0:26.898;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;27;1:15.945;0;;25.125;0;23.471;0;27.349;0;101.5;35:54.278;15:39:35.108;0:25.125;0:23.471;0:27.349;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;28;1:15.589;0;;25.328;0;23.405;0;26.856;0;102.0;37:09.867;15:40:50.697;0:25.328;0:23.405;0:26.856;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;29;1:16.316;0;;25.358;0;23.687;0;27.271;0;101.0;38:26.183;15:42:07.013;0:25.358;0:23.687;0:27.271;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;30;1:17.841;0;;26.318;0;23.849;0;27.674;0;99.0;39:44.024;15:43:24.854;0:26.318;0:23.849;0:27.674;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;31;1:17.031;0;;25.656;0;23.226;0;28.149;0;100.1;41:01.055;15:44:41.885;0:25.656;0:23.226;0:28.149;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
