NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
10;1;0;18.176;0;;;0;;0;;0;519.1;18.176;16:07:10.675;;;;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;1;1:36.212;0;;37.853;0;33.296;0;25.063;0;98.1;1:54.388;16:08:46.887;0:37.853;0:33.296;0:25.063;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;2;1:26.918;0;;29.985;0;32.804;0;24.129;0;108.6;3:21.306;16:10:13.805;0:29.985;0:32.804;0:24.129;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;3;1:25.057;0;;29.194;0;31.844;0;24.019;0;110.9;4:46.363;16:11:38.862;0:29.194;0:31.844;0:24.019;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;4;1:25.699;0;;29.597;0;32.226;0;23.876;0;110.1;6:12.062;16:13:04.561;0:29.597;0:32.226;0:23.876;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;5;1:25.544;0;;29.528;0;32.139;0;23.877;0;110.3;7:37.606;16:14:30.105;0:29.528;0:32.139;0:23.877;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;6;1:26.309;0;;30.282;0;32.130;0;23.897;0;109.3;9:03.915;16:15:56.414;0:30.282;0:32.130;0:23.897;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;7;1:26.116;0;;30.146;0;32.155;0;23.815;0;109.6;10:30.031;16:17:22.530;0:30.146;0:32.155;0:23.815;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;8;1:25.702;0;;29.534;0;32.708;0;23.460;2;110.1;11:55.733;16:18:48.232;0:29.534;0:32.708;0:23.460;;Norman NATO;;;;Jaguar TCS Racing;;250;false;
10;1;9;1:24.657;0;;29.351;0;31.741;0;23.565;0;111.5;13:20.390;16:20:12.889;0:29.351;0:31.741;0:23.565;;Norman NATO;;;;Jaguar TCS Racing;;250;false;
10;1;10;1:24.936;0;;29.771;0;31.628;0;23.537;0;111.1;14:45.326;16:21:37.825;0:29.771;0:31.628;0:23.537;;Norman NATO;;;;Jaguar TCS Racing;;250;false;
10;1;11;1:25.838;0;;29.510;0;32.501;0;23.827;0;109.9;16:11.164;16:23:03.663;0:29.510;0:32.501;0:23.827;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;12;1:26.002;0;;29.546;0;31.935;0;24.521;0;109.7;17:37.166;16:24:29.665;0:29.546;0:31.935;0:24.521;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;13;1:25.700;0;;29.760;0;32.041;0;23.899;0;110.1;19:02.866;16:25:55.365;0:29.760;0:32.041;0:23.899;;Norman NATO;;;;Jaguar TCS Racing;;;false;
