NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
10;1;1;1:52.115;0;;38.800;0;45.255;0;28.060;0;106.5;1:52.115;15:05:30.364;0:38.800;0:45.255;0:28.060;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;2;1:38.971;0;;29.191;0;42.139;0;27.641;0;120.7;3:31.086;15:07:09.335;0:29.191;0:42.139;0:27.641;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;3;1:37.826;0;;28.810;0;41.726;0;27.290;0;122.1;5:08.912;15:08:47.161;0:28.810;0:41.726;0:27.290;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;4;1:36.323;0;;28.609;0;40.952;0;26.762;0;124.0;6:45.235;15:10:23.484;0:28.609;0:40.952;0:26.762;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;5;1:36.497;0;;28.697;0;40.947;2;26.853;0;123.8;8:21.732;15:11:59.981;0:28.697;0:40.947;0:26.853;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;6;1:40.511;0;;28.607;2;44.629;0;27.275;0;118.8;10:02.243;15:13:40.492;0:28.607;0:44.629;0:27.275;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;7;1:36.201;2;;28.657;0;40.960;0;26.584;2;124.2;11:38.444;15:15:16.693;0:28.657;0:40.960;0:26.584;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
11;1;1;1:46.573;0;;36.147;0;42.337;0;28.089;0;112.1;1:46.573;15:05:24.822;0:36.147;0:42.337;0:28.089;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;2;1:38.975;0;;29.673;0;41.620;0;27.682;0;120.7;3:25.548;15:07:03.797;0:29.673;0:41.620;0:27.682;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;3;1:37.034;0;;28.957;0;40.836;0;27.241;0;123.1;5:02.582;15:08:40.831;0:28.957;0:40.836;0:27.241;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;4;1:36.665;0;;28.807;0;40.671;0;27.187;0;123.6;6:39.247;15:10:17.496;0:28.807;0:40.671;0:27.187;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;5;1:36.024;0;;28.568;0;40.562;0;26.894;0;124.4;8:15.271;15:11:53.520;0:28.568;0:40.562;0:26.894;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;6;1:36.181;0;;28.623;0;40.629;0;26.929;0;124.2;9:51.452;15:13:29.701;0:28.623;0:40.629;0:26.929;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;7;1:35.688;0;;28.306;0;40.466;0;26.916;0;124.8;11:27.140;15:15:05.389;0:28.306;0:40.466;0:26.916;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;8;1:35.773;0;;28.414;0;40.550;0;26.809;0;124.7;13:02.913;15:16:41.162;0:28.414;0:40.550;0:26.809;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;9;1:36.084;0;;28.481;0;40.568;0;27.035;0;124.3;14:38.997;15:18:17.246;0:28.481;0:40.568;0:27.035;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;10;1:35.785;0;;28.454;0;40.624;0;26.707;0;124.7;16:14.782;15:19:53.031;0:28.454;0:40.624;0:26.707;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;11;1:34.928;0;;28.236;0;39.901;0;26.791;0;125.8;17:49.710;15:21:27.959;0:28.236;0:39.901;0:26.791;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;12;1:36.047;0;;28.466;0;40.904;0;26.677;0;124.4;19:25.757;15:23:04.006;0:28.466;0:40.904;0:26.677;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;13;1:37.296;0;;30.481;0;40.435;0;26.380;0;122.8;21:03.053;15:24:41.302;0:30.481;0:40.435;0:26.380;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;250;false;
11;1;14;1:35.264;0;;28.139;0;40.601;0;26.524;0;125.4;22:38.317;15:26:16.566;0:28.139;0:40.601;0:26.524;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;250;false;
11;1;15;1:35.749;0;;28.491;0;40.414;0;26.844;0;124.8;24:14.066;15:27:52.315;0:28.491;0:40.414;0:26.844;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;250;false;
11;1;16;1:36.343;0;;28.470;0;40.907;0;26.966;0;124.0;25:50.409;15:29:28.658;0:28.470;0:40.907;0:26.966;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
11;1;17;2:07.731;0;;29.784;0;39.992;0;57.955;0;93.5;27:58.140;15:31:36.389;0:29.784;0:39.992;0:57.955;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;250;false;
11;1;18;2:25.302;0;;1:17.877;0;40.985;0;26.440;0;82.2;30:23.442;15:34:01.691;1:17.877;0:40.985;0:26.440;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;250;false;
11;1;19;2:00.134;0;;28.509;0;49.168;0;42.457;0;99.4;32:23.576;15:36:01.825;0:28.509;0:49.168;0:42.457;;Lucas DI GRASSI;;;;ROKiT Venturi Racing;;;false;
