NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
10;1;1;1:22.810;0;;32.226;0;24.198;0;26.386;0;102.4;1:22.810;15:05:01.231;0:32.226;0:24.198;0:26.386;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;2;1:10.685;0;;23.968;0;22.608;0;24.109;0;119.9;2:33.495;15:06:11.916;0:23.968;0:22.608;0:24.109;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;3;1:10.341;0;;24.081;0;21.971;0;24.289;0;120.5;3:43.836;15:07:22.257;0:24.081;0:21.971;0:24.289;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;4;1:10.178;0;;23.977;0;21.914;0;24.287;0;120.8;4:54.014;15:08:32.435;0:23.977;0:21.914;0:24.287;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;5;1:09.651;0;;23.750;0;21.928;0;23.973;0;121.7;6:03.665;15:09:42.086;0:23.750;0:21.928;0:23.973;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;6;1:09.555;0;;23.594;0;21.901;0;24.060;0;121.9;7:13.220;15:10:51.641;0:23.594;0:21.901;0:24.060;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;7;1:09.564;0;;23.589;0;21.858;0;24.117;0;121.9;8:22.784;15:12:01.205;0:23.589;0:21.858;0:24.117;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;8;1:09.274;0;;23.339;0;21.935;0;24.000;0;122.4;9:32.058;15:13:10.479;0:23.339;0:21.935;0:24.000;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;9;1:09.679;0;;23.544;0;21.908;0;24.227;0;121.7;10:41.737;15:14:20.158;0:23.544;0:21.908;0:24.227;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
10;1;10;1:09.326;0;;23.268;0;21.934;0;24.124;0;122.3;11:51.063;15:15:29.484;0:23.268;0:21.934;0:24.124;;Sam BIRD;;;;Jaguar TCS Racing;;;false;
