NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;FANBOOST;
10;1;0;19.163;0;;;0;;0;;0;492.4;19.163;16:06:24.183;;;;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;1;44:36.861;0;B;36.942;0;37.404;0;43:22.515;0;3.5;44:56.024;16:51:01.044;0:36.942;0:37.404;43:22.515;;Norman NATO;0:00:52.918;;;Jaguar TCS Racing;;;false;
10;1;2;1:36.045;0;;32.874;0;36.206;0;26.965;0;98.2;46:32.069;16:52:37.089;0:32.874;0:36.206;0:26.965;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;3;1:34.861;0;;33.103;0;35.952;0;25.806;0;99.5;48:06.930;16:54:11.950;0:33.103;0:35.952;0:25.806;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;4;1:33.460;0;;32.252;0;35.694;0;25.514;0;101.0;49:40.390;16:55:45.410;0:32.252;0:35.694;0:25.514;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;5;1:32.046;0;;31.837;0;35.189;0;25.020;0;102.5;51:12.436;16:57:17.456;0:31.837;0:35.189;0:25.020;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;6;1:31.818;0;;31.734;0;35.076;0;25.008;0;102.8;52:44.254;16:58:49.274;0:31.734;0:35.076;0:25.008;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;7;1:31.437;0;;31.478;0;34.901;0;25.058;0;103.2;54:15.691;17:00:20.711;0:31.478;0:34.901;0:25.058;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;8;1:31.486;0;;31.449;0;35.043;0;24.994;0;103.1;55:47.177;17:01:52.197;0:31.449;0:35.043;0:24.994;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;9;1:31.069;0;;31.468;0;34.822;0;24.779;0;103.6;57:18.246;17:03:23.266;0:31.468;0:34.822;0:24.779;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;10;1:31.790;0;;31.750;0;34.960;0;25.080;0;102.8;58:50.036;17:04:55.056;0:31.750;0:34.960;0:25.080;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;11;1:32.495;0;;31.692;0;36.074;0;24.729;0;102.0;1:00:22.531;17:06:27.551;0:31.692;0:36.074;0:24.729;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;12;1:31.071;0;;31.629;0;34.883;0;24.559;0;103.6;1:01:53.602;17:07:58.622;0:31.629;0:34.883;0:24.559;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;13;1:30.497;0;;31.505;0;34.540;0;24.452;0;104.3;1:03:24.099;17:09:29.119;0:31.505;0:34.540;0:24.452;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;14;1:31.437;0;;31.444;0;35.740;0;24.253;0;103.2;1:04:55.536;17:11:00.556;0:31.444;0:35.740;0:24.253;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;15;1:31.841;0;;31.652;0;35.383;0;24.806;0;102.7;1:06:27.377;17:12:32.397;0:31.652;0:35.383;0:24.806;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;16;1:31.481;0;;31.790;0;35.224;0;24.467;0;103.1;1:07:58.858;17:14:03.878;0:31.790;0:35.224;0:24.467;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;17;1:31.515;0;;31.885;0;35.171;0;24.459;0;103.1;1:09:30.373;17:15:35.393;0:31.885;0:35.171;0:24.459;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;18;1:33.096;0;;32.457;0;35.961;0;24.678;0;101.4;1:11:03.469;17:17:08.489;0:32.457;0:35.961;0:24.678;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;19;1:30.675;0;;31.740;0;34.611;0;24.324;0;104.1;1:12:34.144;17:18:39.164;0:31.740;0:34.611;0:24.324;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;20;1:30.916;0;;31.892;0;34.674;0;24.350;0;103.8;1:14:05.060;17:20:10.080;0:31.892;0:34.674;0:24.350;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;21;1:30.716;0;;31.643;0;34.745;0;24.328;0;104.0;1:15:35.776;17:21:40.796;0:31.643;0:34.745;0:24.328;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;22;1:30.136;0;;31.540;0;34.404;0;24.192;0;104.7;1:17:05.912;17:23:10.932;0:31.540;0:34.404;0:24.192;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;23;1:29.735;0;;31.372;0;34.260;0;24.103;0;105.1;1:18:35.647;17:24:40.667;0:31.372;0:34.260;0:24.103;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;24;1:29.596;0;;31.402;0;33.846;0;24.348;0;105.3;1:20:05.243;17:26:10.263;0:31.402;0:33.846;0:24.348;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;25;1:28.574;0;;30.904;0;33.560;2;24.110;0;106.5;1:21:33.817;17:27:38.837;0:30.904;0:33.560;0:24.110;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;26;1:28.371;2;;30.715;2;33.650;0;24.006;2;106.8;1:23:02.188;17:29:07.208;0:30.715;0:33.650;0:24.006;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;27;2:38.818;0;;31.527;0;1:05.319;0;1:01.972;0;59.4;1:25:41.006;17:31:46.026;0:31.527;1:05.319;1:01.972;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;28;1:52.404;0;;48.958;0;37.674;0;25.772;0;83.9;1:27:33.410;17:33:38.430;0:48.958;0:37.674;0:25.772;;Norman NATO;;;;Jaguar TCS Racing;;;false;
10;1;29;1:38.143;0;;32.739;0;38.342;0;27.062;0;96.1;1:29:11.553;17:35:16.573;0:32.739;0:38.342;0:27.062;;Norman NATO;;;;Jaguar TCS Racing;;;false;
