NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
10;1;0;25.976;0;;;0;;0;;0;345.8;25.976;20:07:23.763;;;;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;1;1:16.959;0;;25.225;0;20.321;0;31.413;0;116.7;1:42.935;20:08:40.722;0:25.225;0:20.321;0:31.413;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;2;1:13.698;0;;23.823;0;19.873;0;30.002;0;121.9;2:56.633;20:09:54.420;0:23.823;0:19.873;0:30.002;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;3;1:13.727;0;;23.393;0;19.494;0;30.840;0;121.8;4:10.360;20:11:08.147;0:23.393;0:19.494;0:30.840;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;4;1:12.169;0;;23.051;0;19.354;0;29.764;0;124.5;5:22.529;20:12:20.316;0:23.051;0:19.354;0:29.764;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;5;1:11.901;0;;22.975;0;19.357;0;29.569;0;124.9;6:34.430;20:13:32.217;0:22.975;0:19.357;0:29.569;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;6;1:11.661;0;;22.986;0;19.388;0;29.287;0;125.3;7:46.091;20:14:43.878;0:22.986;0:19.388;0:29.287;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;7;1:11.385;0;;22.912;0;19.289;0;29.184;0;125.8;8:57.476;20:15:55.263;0:22.912;0:19.289;0:29.184;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;8;1:11.655;0;;22.805;0;19.396;0;29.454;0;125.4;10:09.131;20:17:06.918;0:22.805;0:19.396;0:29.454;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;9;1:32.247;0;;23.076;0;19.858;0;49.313;0;97.4;11:41.378;20:18:39.165;0:23.076;0:19.858;0:49.313;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;10;2:34.710;0;;41.157;0;42.104;0;1:11.449;0;58.1;14:16.088;20:21:13.875;0:41.157;0:42.104;1:11.449;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;11;2:24.167;0;;38.343;0;37.916;0;1:07.908;0;62.3;16:40.255;20:23:38.042;0:38.343;0:37.916;1:07.908;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;12;1:30.477;0;;39.262;0;21.416;0;29.799;0;99.3;18:10.732;20:25:08.519;0:39.262;0:21.416;0:29.799;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;13;1:13.292;0;;23.146;0;19.314;0;30.832;0;122.6;19:24.024;20:26:21.811;0:23.146;0:19.314;0:30.832;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;14;1:09.900;0;;22.694;0;18.727;0;28.479;2;128.5;20:33.924;20:27:31.711;0:22.694;0:18.727;0:28.479;;Sam BIRD;;;;Jaguar TCS Racing;;250;
10;1;15;1:09.733;2;;22.416;0;18.836;0;28.481;0;128.8;21:43.657;20:28:41.444;0:22.416;0:18.836;0:28.481;;Sam BIRD;;;;Jaguar TCS Racing;;250;
10;1;16;1:11.897;0;;22.427;0;18.957;0;30.513;0;124.9;22:55.554;20:29:53.341;0:22.427;0:18.957;0:30.513;;Sam BIRD;;;;Jaguar TCS Racing;;;
10;1;17;1:09.813;0;;22.431;0;18.672;2;28.710;0;128.7;24:05.367;20:31:03.154;0:22.431;0:18.672;0:28.710;;Sam BIRD;;;;Jaguar TCS Racing;;250;
